AHNS AP STATE MESSAGES LOG FOR logs/AP_State_Tuesday-28-09-2010-165248.log
TIME, REF_PHI, REF_THETA, REF_PSI, REF_X, REF_Y, REF_Z, PHI_ACTIVE, THETA_ACTIVE, PSI_ACTIVE, X_ACTIVE, Y_ACTIVE, Z_ACTIVE
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0115659,0,0,0,0,0,0,0,0,0,0,0,0
0.0231941,0,0,0,0,0,0,0,0,0,0,0,0
0.035553,0,0,0,0,0,0,0,0,0,0,0,0
0.0471499,0,0,0,0,0,0,0,0,0,0,0,0
0.0589299,0,0,0,0,0,0,0,0,0,0,0,0
0.0705869,0,0,0,0,0,0,0,0,0,0,0,0
0.0822151,0,0,0,0,0,0,0,0,0,0,0,0
0.093811,0,0,0,0,0,0,0,0,0,0,0,0
0.105438,0,0,0,0,0,0,0,0,0,0,0,0
0.116944,0,0,0,0,0,0,0,0,0,0,0,0
0.12854,0,0,0,0,0,0,0,0,0,0,0,0
0.139954,0,0,0,0,0,0,0,0,0,0,0,0
0.151367,0,0,0,0,0,0,0,0,0,0,0,0
0.163513,0,0,0,0,0,0,0,0,0,0,0,0
0.175446,0,0,0,0,0,0,0,0,0,0,0,0
0.187805,0,0,0,0,0,0,0,0,0,0,0,0
0.199433,0,0,0,0,0,0,0,0,0,0,0,0
0.210785,0,0,0,0,0,0,0,0,0,0,0,0
0.222473,0,0,0,0,0,0,0,0,0,0,0,0
0.234009,0,0,0,0,0,0,0,0,0,0,0,0
0.245453,0,0,0,0,0,0,0,0,0,0,0,0
0.257111,0,0,0,0,0,0,0,0,0,0,0,0
0.268616,0,0,0,0,0,0,0,0,0,0,0,0
0.280304,0,0,0,0,0,0,0,0,0,0,0,0
0.291779,0,0,0,0,0,0,0,0,0,0,0,0
0.30307,0,0,0,0,0,0,0,0,0,0,0,0
0.314606,0,0,0,0,0,0,0,0,0,0,0,0
0.326172,0,0,0,0,0,0,0,0,0,0,0,0
0.337982,0,0,0,0,0,0,0,0,0,0,0,0
0.350098,0,0,0,0,0,0,0,0,0,0,0,0
0.361634,0,0,0,0,0,0,0,0,0,0,0,0
0.373291,0,0,0,0,0,0,0,0,0,0,0,0
0.384766,0,0,0,0,0,0,0,0,0,0,0,0
0.396332,0,0,0,0,0,0,0,0,0,0,0,0
0.407746,0,0,0,0,0,0,0,0,0,0,0,0
0.419281,0,0,0,0,0,0,0,0,0,0,0,0
0.430725,0,0,0,0,0,0,0,0,0,0,0,0
0.4422,0,0,0,0,0,0,0,0,0,0,0,0
0.453583,0,0,0,0,0,0,0,0,0,0,0,0
0.464997,0,0,0,0,0,0,0,0,0,0,0,0
0.476441,0,0,0,0,0,0,0,0,0,0,0,0
0.487915,0,0,0,0,0,0,0,0,0,0,0,0
0.499329,0,0,0,0,0,0,0,0,0,0,0,0
0.510681,0,0,0,0,0,0,0,0,0,0,0,0
0.52298,0,0,0,0,0,0,0,0,0,0,0,0
0.53479,0,0,0,0,0,0,0,0,0,0,0,0
0.546234,0,0,0,0,0,0,0,0,0,0,0,0
0.557892,0,0,0,0,0,0,0,0,0,0,0,0
0.56958,0,0,0,0,0,0,0,0,0,0,0,0
0.581024,0,0,0,0,0,0,0,0,0,0,0,0
0.592591,0,0,0,0,0,0,0,0,0,0,0,0
0.604218,0,0,0,0,0,0,0,0,0,0,0,0
0.615631,0,0,0,0,0,0,0,0,0,0,0,0
0.627106,0,0,0,0,0,0,0,0,0,0,0,0
0.638428,0,0,0,0,0,0,0,0,0,0,0,0
0.649933,0,0,0,0,0,0,0,0,0,0,0,0
0.661316,0,0,0,0,0,0,0,0,0,0,0,0
0.672821,0,0,0,0,0,0,0,0,0,0,0,0
0.684204,0,0,0,0,0,0,0,0,0,0,0,0
0.696259,0,0,0,0,0,0,0,0,0,0,0,0
0.707916,0,0,0,0,0,0,0,0,0,0,0,0
0.719269,0,0,0,0,0,0,0,0,0,0,0,0
0.730866,0,0,0,0,0,0,0,0,0,0,0,0
0.742371,0,0,0,0,0,0,0,0,0,0,0,0
0.753937,0,0,0,0,0,0,0,0,0,0,0,0
0.765351,0,0,0,0,0,0,0,0,0,0,0,0
0.776978,0,0,0,0,0,0,0,0,0,0,0,0
0.788361,0,0,0,0,0,0,0,0,0,0,0,0
0.799896,0,0,0,0,0,0,0,0,0,0,0,0
0.811341,0,0,0,0,0,0,0,0,0,0,0,0
0.822785,0,0,0,0,0,0,0,0,0,0,0,0
0.834351,0,0,0,0,0,0,0,0,0,0,0,0
0.845764,0,0,0,0,0,0,0,0,0,0,0,0
0.857239,0,0,0,0,0,0,0,0,0,0,0,0
0.869446,0,0,0,0,0,0,0,0,0,0,0,0
0.881195,0,0,0,0,0,0,0,0,0,0,0,0
0.892639,0,0,0,0,0,0,0,0,0,0,0,0
0.904206,0,0,0,0,0,0,0,0,0,0,0,0
0.915558,0,0,0,0,0,0,0,0,0,0,0,0
0.927246,0,0,0,0,0,0,0,0,0,0,0,0
0.93869,0,0,0,0,0,0,0,0,0,0,0,0
0.950287,0,0,0,0,0,0,0,0,0,0,0,0
0.961792,0,0,0,0,0,0,0,0,0,0,0,0
0.973297,0,0,0,0,0,0,0,0,0,0,0,0
0.984772,0,0,0,0,0,0,0,0,0,0,0,0
0.996308,0,0,0,0,0,0,0,0,0,0,0,0
1.00754,0,0,0,0,0,0,0,0,0,0,0,0
1.01913,0,0,0,0,0,0,0,0,0,0,0,0
1.03128,0,0,0,0,0,0,0,0,0,0,0,0
1.04306,0,0,0,0,0,0,0,0,0,0,0,0
1.05457,0,0,0,0,0,0,0,0,0,0,0,0
1.06625,0,0,0,0,0,0,0,0,0,0,0,0
1.07767,0,0,0,0,0,0,0,0,0,0,0,0
1.08893,0,0,0,0,0,0,0,0,0,0,0,0
1.10062,0,0,0,0,0,0,0,0,0,0,0,0
1.11209,0,0,0,0,0,0,0,0,0,0,0,0
1.12363,0,0,0,0,0,0,0,0,0,0,0,0
1.13516,0,0,0,0,0,0,0,0,0,0,0,0
1.14679,0,0,0,0,0,0,0,0,0,0,0,0
1.15836,0,0,0,0,0,0,0,0,0,0,0,0
1.16965,0,0,0,0,0,0,0,0,0,0,0,0
1.18124,0,0,0,0,0,0,0,0,0,0,0,0
1.1926,0,0,0,0,0,0,0,0,0,0,0,0
1.20569,0,0,0,0,0,0,0,0,0,0,0,0
1.21738,0,0,0,0,0,0,0,0,0,0,0,0
1.22955,0,0,0,0,0,0,0,0,0,0,0,0
1.24149,0,0,0,0,0,0,0,0,0,0,0,0
1.25321,0,0,0,0,0,0,0,0,0,0,0,0
1.26544,0,0,0,0,0,0,0,0,0,0,0,0
1.27756,0,0,0,0,0,0,0,0,0,0,0,0
1.28986,0,0,0,0,0,0,0,0,0,0,0,0
1.30338,0,0,0,0,0,0,0,0,0,0,0,0
1.31574,0,0,0,0,0,0,0,0,0,0,0,0
1.32785,0,0,0,0,0,0,0,0,0,0,0,0
1.33981,0,0,0,0,0,0,0,0,0,0,0,0
1.35184,0,0,0,0,0,0,0,0,0,0,0,0
1.36407,0,0,0,0,0,0,0,0,0,0,0,0
1.37598,0,0,0,0,0,0,0,0,0,0,0,0
1.38809,0,0,0,0,0,0,0,0,0,0,0,0
1.40143,0,0,0,0,0,0,0,0,0,0,0,0
1.41324,0,0,0,0,0,0,0,0,0,0,0,0
1.42599,0,0,0,0,0,0,0,0,0,0,0,0
1.43774,0,0,0,0,0,0,0,0,0,0,0,0
1.44955,0,0,0,0,0,0,0,0,0,0,0,0
1.46182,0,0,0,0,0,0,0,0,0,0,0,0
1.47406,0,0,0,0,0,0,0,0,0,0,0,0
1.48697,0,0,0,0,0,0,0,0,0,0,0,0
1.49921,0,0,0,0,0,0,0,0,0,0,0,0
1.51157,0,0,0,0,0,0,0,0,0,0,0,0
1.52356,0,0,0,0,0,0,0,0,0,0,0,0
1.53616,0,0,0,0,0,0,0,0,0,0,0,0
1.54822,0,0,0,0,0,0,0,0,0,0,0,0
1.56015,0,0,0,0,0,0,0,0,0,0,0,0
1.57199,0,0,0,0,0,0,0,0,0,0,0,0
1.5838,0,0,0,0,0,0,0,0,0,0,0,0
1.5968,0,0,0,0,0,0,0,0,0,0,0,0
1.60867,0,0,0,0,0,0,0,0,0,0,0,0
1.62091,0,0,0,0,0,0,0,0,0,0,0,0
1.63336,0,0,0,0,0,0,0,0,0,0,0,0
1.6452,0,0,0,0,0,0,0,0,0,0,0,0
1.65683,0,0,0,0,0,0,0,0,0,0,0,0
1.66864,0,0,0,0,0,0,0,0,0,0,0,0
1.68091,0,0,0,0,0,0,0,0,0,0,0,0
1.69431,0,0,0,0,0,0,0,0,0,0,0,0
1.70703,0,0,0,0,0,0,0,0,0,0,0,0
1.7193,0,0,0,0,0,0,0,0,0,0,0,0
1.73126,0,0,0,0,0,0,0,0,0,0,0,0
1.74304,0,0,0,0,0,0,0,0,0,0,0,0
1.75482,0,0,0,0,0,0,0,0,0,0,0,0
1.76663,0,0,0,0,0,0,0,0,0,0,0,0
1.77853,0,0,0,0,0,0,0,0,0,0,0,0
1.79025,0,0,0,0,0,0,0,0,0,0,0,0
1.80396,0,0,0,0,0,0,0,0,0,0,0,0
1.81613,0,0,0,0,0,0,0,0,0,0,0,0
1.82806,0,0,0,0,0,0,0,0,0,0,0,0
1.84021,0,0,0,0,0,0,0,0,0,0,0,0
1.85251,0,0,0,0,0,0,0,0,0,0,0,0
1.86432,0,0,0,0,0,0,0,0,0,0,0,0
1.87601,0,0,0,0,0,0,0,0,0,0,0,0
1.88782,0,0,0,0,0,0,0,0,0,0,0,0
1.90122,0,0,0,0,0,0,0,0,0,0,0,0
1.9137,0,0,0,0,0,0,0,0,0,0,0,0
1.92609,0,0,0,0,0,0,0,0,0,0,0,0
1.93839,0,0,0,0,0,0,0,0,0,0,0,0
1.9502,0,0,0,0,0,0,0,0,0,0,0,0
1.96268,0,0,0,0,0,0,0,0,0,0,0,0
1.97461,0,0,0,0,0,0,0,0,0,0,0,0
1.98804,0,0,0,0,0,0,0,0,0,0,0,0
2.00015,0,0,0,0,0,0,0,0,0,0,0,0
2.01224,0,0,0,0,0,0,0,0,0,0,0,0
2.02377,0,0,0,0,0,0,0,0,0,0,0,0
2.03595,0,0,0,0,0,0,0,0,0,0,0,0
2.04782,0,0,0,0,0,0,0,0,0,0,0,0
2.05975,0,0,0,0,0,0,0,0,0,0,0,0
2.07172,0,0,0,0,0,0,0,0,0,0,0,0
2.08353,0,0,0,0,0,0,0,0,0,0,0,0
2.09726,0,0,0,0,0,0,0,0,0,0,0,0
2.10907,0,0,0,0,0,0,0,0,0,0,0,0
2.12119,0,0,0,0,0,0,0,0,0,0,0,0
2.13312,0,0,0,0,0,0,0,0,0,0,0,0
2.14499,0,0,0,0,0,0,0,0,0,0,0,0
2.15729,0,0,0,0,0,0,0,0,0,0,0,0
2.16943,0,0,0,0,0,0,0,0,0,0,0,0
2.181,0,0,0,0,0,0,0,0,0,0,0,0
2.19311,0,0,0,0,0,0,0,0,0,0,0,0
2.20615,0,0,0,0,0,0,0,0,0,0,0,0
2.21796,0,0,0,0,0,0,0,0,0,0,0,0
2.2305,0,0,0,0,0,0,0,0,0,0,0,0
2.24255,0,0,0,0,0,0,0,0,0,0,0,0
2.25458,0,0,0,0,0,0,0,0,0,0,0,0
2.26636,0,0,0,0,0,0,0,0,0,0,0,0
2.27942,0,0,0,0,0,0,0,0,0,0,0,0
2.29355,0,0,0,0,0,0,0,0,0,0,0,0
2.30511,0,0,0,0,0,0,0,0,0,0,0,0
2.31738,0,0,0,0,0,0,0,0,0,0,0,0
2.32944,0,0,0,0,0,0,0,0,0,0,0,0
2.34134,0,0,0,0,0,0,0,0,0,0,0,0
2.35315,0,0,0,0,0,0,0,0,0,0,0,0
2.36536,0,0,0,0,0,0,0,0,0,0,0,0
2.37729,0,0,0,0,0,0,0,0,0,0,0,0
2.38904,0,0,0,0,0,0,0,0,0,0,0,0
2.40192,0,0,0,0,0,0,0,0,0,0,0,0
2.41443,0,0,0,0,0,0,0,0,0,0,0,0
2.42676,0,0,0,0,0,0,0,0,0,0,0,0
2.43884,0,0,0,0,0,0,0,0,0,0,0,0
2.45056,0,0,0,0,0,0,0,0,0,0,0,0
2.46283,0,0,0,0,0,0,0,0,0,0,0,0
2.47504,0,0,0,0,0,0,0,0,0,0,0,0
2.48697,0,0,0,0,0,0,0,0,0,0,0,0
2.49863,0,0,0,0,0,0,0,0,0,0,0,0
2.51245,0,0,0,0,0,0,0,0,0,0,0,0
2.52469,0,0,0,0,0,0,0,0,0,0,0,0
2.53656,0,0,0,0,0,0,0,0,0,0,0,0
2.54843,0,0,0,0,0,0,0,0,0,0,0,0
2.56009,0,0,0,0,0,0,0,0,0,0,0,0
2.5719,0,0,0,0,0,0,0,0,0,0,0,0
2.58383,0,0,0,0,0,0,0,0,0,0,0,0
2.59558,0,0,0,0,0,0,0,0,0,0,0,0
2.60767,0,0,0,0,0,0,0,0,0,0,0,0
2.62122,0,0,0,0,0,0,0,0,0,0,0,0
2.63373,0,0,0,0,0,0,0,0,0,0,0,0
2.64597,0,0,0,0,0,0,0,0,0,0,0,0
2.65802,0,0,0,0,0,0,0,0,0,0,0,0
2.6701,0,0,0,0,0,0,0,0,0,0,0,0
2.6821,0,0,0,0,0,0,0,0,0,0,0,0
2.69391,0,0,0,0,0,0,0,0,0,0,0,0
2.70572,0,0,0,0,0,0,0,0,0,0,0,0
2.71909,0,0,0,0,0,0,0,0,0,0,0,0
2.73132,0,0,0,0,0,0,0,0,0,0,0,0
2.74344,0,0,0,0,0,0,0,0,0,0,0,0
2.75543,0,0,0,0,0,0,0,0,0,0,0,0
2.767,0,0,0,0,0,0,0,0,0,0,0,0
2.77902,0,0,0,0,0,0,0,0,0,0,0,0
2.79083,0,0,0,0,0,0,0,0,0,0,0,0
2.80243,0,0,0,0,0,0,0,0,0,0,0,0
2.81418,0,0,0,0,0,0,0,0,0,0,0,0
2.82608,0,0,0,0,0,0,0,0,0,0,0,0
2.83942,0,0,0,0,0,0,0,0,0,0,0,0
2.85132,0,0,0,0,0,0,0,0,0,0,0,0
2.86362,0,0,0,0,0,0,0,0,0,0,0,0
2.87558,0,0,0,0,0,0,0,0,0,0,0,0
2.88779,0,0,0,0,0,0,0,0,0,0,0,0
2.89972,0,0,0,0,0,0,0,0,0,0,0,0
2.91162,0,0,0,0,0,0,0,0,0,0,0,0
2.92374,0,0,0,0,0,0,0,0,0,0,0,0
2.93732,0,0,0,0,0,0,0,0,0,0,0,0
2.94922,0,0,0,0,0,0,0,0,0,0,0,0
2.9617,0,0,0,0,0,0,0,0,0,0,0,0
2.9736,0,0,0,0,0,0,0,0,0,0,0,0
2.98572,0,0,0,0,0,0,0,0,0,0,0,0
2.99747,0,0,0,0,0,0,0,0,0,0,0,0
3.00958,0,0,0,0,0,0,0,0,0,0,0,0
3.02191,0,0,0,0,0,0,0,0,0,0,0,0
3.03482,0,0,0,0,0,0,0,0,0,0,0,0
3.04688,0,0,0,0,0,0,0,0,0,0,0,0
3.05902,0,0,0,0,0,0,0,0,0,0,0,0
3.0712,0,0,0,0,0,0,0,0,0,0,0,0
3.08307,0,0,0,0,0,0,0,0,0,0,0,0
3.09491,0,0,0,0,0,0,0,0,0,0,0,0
3.10699,0,0,0,0,0,0,0,0,0,0,0,0
3.1188,0,0,0,0,0,0,0,0,0,0,0,0
3.13232,0,0,0,0,0,0,0,0,0,0,0,0
3.14432,0,0,0,0,0,0,0,0,0,0,0,0
3.15655,0,0,0,0,0,0,0,0,0,0,0,0
3.16864,0,0,0,0,0,0,0,0,0,0,0,0
3.18042,0,0,0,0,0,0,0,0,0,0,0,0
3.19254,0,0,0,0,0,0,0,0,0,0,0,0
3.20465,0,0,0,0,0,0,0,0,0,0,0,0
3.21686,0,0,0,0,0,0,0,0,0,0,0,0
3.23032,0,0,0,0,0,0,0,0,0,0,0,0
3.24237,0,0,0,0,0,0,0,0,0,0,0,0
3.25473,0,0,0,0,0,0,0,0,0,0,0,0
3.26642,0,0,0,0,0,0,0,0,0,0,0,0
3.27844,0,0,0,0,0,0,0,0,0,0,0,0
3.29025,0,0,0,0,0,0,0,0,0,0,0,0
3.30197,0,0,0,0,0,0,0,0,0,0,0,0
3.3139,0,0,0,0,0,0,0,0,0,0,0,0
3.32697,0,0,0,0,0,0,0,0,0,0,0,0
3.33932,0,0,0,0,0,0,0,0,0,0,0,0
3.3519,0,0,0,0,0,0,0,0,0,0,0,0
3.36398,0,0,0,0,0,0,0,0,0,0,0,0
3.37622,0,0,0,0,0,0,0,0,0,0,0,0
3.38852,0,0,0,0,0,0,0,0,0,0,0,0
3.40024,0,0,0,0,0,0,0,0,0,0,0,0
3.41208,0,0,0,0,0,0,0,0,0,0,0,0
3.42392,0,0,0,0,0,0,0,0,0,0,0,0
3.43759,0,0,0,0,0,0,0,0,0,0,0,0
3.45001,0,0,0,0,0,0,0,0,0,0,0,0
3.46216,0,0,0,0,0,0,0,0,0,0,0,0
3.47427,0,0,0,0,0,0,0,0,0,0,0,0
3.4863,0,0,0,0,0,0,0,0,0,0,0,0
3.4982,0,0,0,0,0,0,0,0,0,0,0,0
3.51031,0,0,0,0,0,0,0,0,0,0,0,0
3.52234,0,0,0,0,0,0,0,0,0,0,0,0
3.53616,0,0,0,0,0,0,0,0,0,0,0,0
3.54822,0,0,0,0,0,0,0,0,0,0,0,0
3.5604,0,0,0,0,0,0,0,0,0,0,0,0
3.57214,0,0,0,0,0,0,0,0,0,0,0,0
3.58426,0,0,0,0,0,0,0,0,0,0,0,0
3.5961,0,0,0,0,0,0,0,0,0,0,0,0
3.60819,0,0,0,0,0,0,0,0,0,0,0,0
3.62027,0,0,0,0,0,0,0,0,0,0,0,0
3.63394,0,0,0,0,0,0,0,0,0,0,0,0
3.64587,0,0,0,0,0,0,0,0,0,0,0,0
3.65781,0,0,0,0,0,0,0,0,0,0,0,0
3.67001,0,0,0,0,0,0,0,0,0,0,0,0
3.68189,0,0,0,0,0,0,0,0,0,0,0,0
3.69406,0,0,0,0,0,0,0,0,0,0,0,0
3.70608,0,0,0,0,0,0,0,0,0,0,0,0
3.71777,0,0,0,0,0,0,0,0,0,0,0,0
3.72965,0,0,0,0,0,0,0,0,0,0,0,0
3.7428,0,0,0,0,0,0,0,0,0,0,0,0
3.75519,0,0,0,0,0,0,0,0,0,0,0,0
3.76776,0,0,0,0,0,0,0,0,0,0,0,0
3.77969,0,0,0,0,0,0,0,0,0,0,0,0
3.79138,0,0,0,0,0,0,0,0,0,0,0,0
3.8038,0,0,0,0,0,0,0,0,0,0,0,0
3.8161,0,0,0,0,0,0,0,0,0,0,0,0
3.82812,0,0,0,0,0,0,0,0,0,0,0,0
3.84201,0,0,0,0,0,0,0,0,0,0,0,0
3.85397,0,0,0,0,0,0,0,0,0,0,0,0
3.866,0,0,0,0,0,0,0,0,0,0,0,0
3.87824,0,0,0,0,0,0,0,0,0,0,0,0
3.89026,0,0,0,0,0,0,0,0,0,0,0,0
3.90256,0,0,0,0,0,0,0,0,0,0,0,0
3.91455,0,0,0,0,0,0,0,0,0,0,0,0
3.92709,0,0,0,0,0,0,0,0,0,0,0,0
3.94049,0,0,0,0,0,0,0,0,0,0,0,0
3.95309,0,0,0,0,0,0,0,0,0,0,0,0
3.9653,0,0,0,0,0,0,0,0,0,0,0,0
3.97754,0,0,0,0,0,0,0,0,0,0,0,0
3.9895,0,0,0,0,0,0,0,0,0,0,0,0
4.00128,0,0,0,0,0,0,0,0,0,0,0,0
4.01297,0,0,0,0,0,0,0,0,0,0,0,0
4.02457,0,0,0,0,0,0,0,0,0,0,0,0
4.03629,0,0,0,0,0,0,0,0,0,0,0,0
4.05035,0,0,0,0,0,0,0,0,0,0,0,0
4.06223,0,0,0,0,0,0,0,0,0,0,0,0
4.07492,0,0,0,0,0,0,0,0,0,0,0,0
4.08691,0,0,0,0,0,0,0,0,0,0,0,0
4.0986,0,0,0,0,0,0,0,0,0,0,0,0
