AHNS FC STATE MESSAGES LOG FOR logs/FC_States_Tuesday-28-09-2010-165248.log
TIME, COMMANDED_ENGINE1, COMMANDED_ENGINE2, COMMANDED_ENGINE3, COMMANDED_ENGINE4, RC_LINK, FC_UPTIME, FC_CPU
0,3504,1488,1488,1488,1,0,0
0.011688,3504,1488,1488,1488,1,0,0
0.023315,3504,1488,1488,1488,1,0,0
0.035675,3504,1488,1488,1488,1,0,0
0.047241,3504,1488,1488,1488,1,0,0
0.059021,3504,1488,1488,1488,1,0,0
0.0706789,3504,1488,1488,1488,1,0,0
0.0823059,3504,1488,1488,1488,1,0,0
0.0939329,3504,1488,1488,1488,1,0,0
0.10553,3504,1488,1488,1488,1,0,0
0.117065,3504,1488,1488,1488,1,0,0
0.128449,3504,1488,1488,1488,1,0,0
0.140076,3504,1488,1488,1488,1,0,0
0.15152,3504,1488,1488,1488,1,0,0
0.163574,3504,1488,1488,1488,1,0,0
0.175232,3504,1488,1488,1488,1,0,0
0.187897,3504,1488,1488,1488,1,0,0
0.199524,3504,1488,1488,1488,1,0,0
0.210876,3504,1488,1488,1488,1,0,0
0.22229,3504,1488,1488,1488,1,0,0
0.234131,3504,1488,1488,1488,1,0,0
0.245575,3504,1488,1488,1488,1,0,0
0.257233,3504,1488,1488,1488,1,0,0
0.268799,3504,1488,1488,1488,1,0,0
0.280426,3504,1488,1488,1488,1,0,0
0.29187,3504,1488,1488,1488,1,0,0
0.303284,3504,1488,1488,1488,1,0,0
0.314819,3504,1488,1488,1488,1,0,0
0.326141,3504,1488,1488,1488,1,0,0
0.337799,3504,1488,1488,1488,1,0,0
0.350098,3504,1488,1488,1488,1,0,0
0.361725,3504,1488,1488,1488,1,0,0
0.373383,3504,1488,1488,1488,1,0,0
0.384766,3504,1488,1488,1488,1,0,0
0.396423,3504,1488,1488,1488,1,0,0
0.407806,3504,1488,1488,1488,1,0,0
0.419373,3504,1488,1488,1488,1,0,0
0.430817,3504,1488,1488,1488,1,0,0
0.442291,3504,1488,1488,1488,1,0,0
0.453705,3504,1488,1488,1488,1,0,0
0.465027,3504,1488,1488,1488,1,0,0
0.476563,3504,1488,1488,1488,1,0,0
0.487946,3504,1488,1488,1488,1,0,0
0.49942,3504,1488,1488,1488,1,0,0
0.510712,3504,1488,1488,1488,1,0,0
0.522797,3504,1488,1488,1488,1,0,0
0.534851,3504,1488,1488,1488,1,0,0
0.546356,3504,1488,1488,1488,1,0,0
0.5578,3504,1488,1488,1488,1,0,0
0.569672,3504,1488,1488,1488,1,0,0
0.581146,3504,1488,1488,1488,1,0,0
0.592682,3504,1488,1488,1488,1,0,0
0.604248,3504,1488,1488,1488,1,0,0
0.615723,3504,1488,1488,1488,1,0,0
0.627197,3504,1488,1488,1488,1,0,0
0.63855,3504,1488,1488,1488,1,0,0
0.649933,3504,1488,1488,1488,1,0,0
0.661438,3504,1488,1488,1488,1,0,0
0.672882,3504,1488,1488,1488,1,0,0
0.684235,3504,1488,1488,1488,1,0,0
0.696136,3504,1488,1488,1488,1,0,0
0.707977,3504,1488,1488,1488,1,0,0
0.719452,3504,1488,1488,1488,1,0,0
0.730957,3504,1488,1488,1488,1,0,0
0.742493,3504,1488,1488,1488,1,0,0
0.754028,3504,1488,1488,1488,1,0,0
0.765381,3504,1488,1488,1488,1,0,0
0.776886,3504,1488,1488,1488,1,0,0
0.788544,3504,1488,1488,1488,1,0,0
0.800018,3504,1488,1488,1488,1,0,0
0.811371,3504,1488,1488,1488,1,0,0
0.822907,3504,1488,1488,1488,1,0,0
0.834351,3504,1488,1488,1488,1,0,0
0.845795,3504,1488,1488,1488,1,0,0
0.8573,3504,1488,1488,1488,1,0,0
0.869507,3504,1488,1488,1488,1,0,0
0.881287,3504,1488,1488,1488,1,0,0
0.892761,3504,1488,1488,1488,1,0,0
0.904266,3504,1488,1488,1488,1,0,0
0.915741,3504,1488,1488,1488,1,0,0
0.927368,3504,1488,1488,1488,1,0,0
0.938751,3504,1488,1488,1488,1,0,0
0.950409,3504,1488,1488,1488,1,0,0
0.961914,3504,1488,1488,1488,1,0,0
0.973419,3504,1488,1488,1488,1,0,0
0.984863,3504,1488,1488,1488,1,0,0
0.996429,3504,1488,1488,1488,1,0,0
1.00766,3504,1488,1488,1488,1,0,0
1.0191,3504,1488,1488,1488,1,0,0
1.03113,3504,1488,1488,1488,1,0,0
1.04306,3504,1488,1488,1488,1,0,0
1.05469,3504,1488,1488,1488,1,0,0
1.06634,3504,1488,1488,1488,1,0,0
1.07779,3504,1488,1488,1488,1,0,0
1.08902,3504,1488,1488,1488,1,0,0
1.10074,3504,1488,1488,1488,1,0,0
1.11224,3504,1488,1488,1488,1,0,0
1.12375,3504,1488,1488,1488,1,0,0
1.13531,3504,1488,1488,1488,1,0,0
1.14682,3504,1488,1488,1488,1,0,0
1.15836,3504,1488,1488,1488,1,0,0
1.16986,3504,1488,1488,1488,1,0,0
1.1813,3504,1488,1488,1488,1,0,0
1.19278,3504,1488,1488,1488,1,0,0
1.20584,3504,1488,1488,1488,1,0,0
1.21768,3504,1488,1488,1488,1,0,0
1.22946,3504,1488,1488,1488,1,0,0
1.24161,3504,1488,1488,1488,1,0,0
1.25345,3504,1488,1488,1488,1,0,0
1.26547,3504,1488,1488,1488,1,0,0
1.2775,3504,1488,1488,1488,1,0,0
1.28989,3504,1488,1488,1488,1,0,0
1.30334,3504,1488,1488,1488,1,0,0
1.31573,3504,1488,1488,1488,1,0,0
1.32809,3504,1488,1488,1488,1,0,0
1.33991,3504,1488,1488,1488,1,0,0
1.35187,3504,1488,1488,1488,1,0,0
1.36404,3504,1488,1488,1488,1,0,0
1.37613,3504,1488,1488,1488,1,0,0
1.38782,3504,1488,1488,1488,1,0,0
1.4014,3504,1488,1488,1488,1,0,0
1.41354,3504,1488,1488,1488,1,0,0
1.42593,3504,1488,1488,1488,1,0,0
1.43802,3504,1488,1488,1488,1,0,0
1.44971,3504,1488,1488,1488,1,0,0
1.4617,3504,1488,1488,1488,1,0,0
1.47391,3504,1488,1488,1488,1,0,0
1.48608,3504,1488,1488,1488,1,0,0
1.49933,3504,1488,1488,1488,1,0,0
1.51129,3504,1488,1488,1488,1,0,0
1.52371,3504,1488,1488,1488,1,0,0
1.53598,3504,1488,1488,1488,1,0,0
1.54834,3504,1488,1488,1488,1,0,0
1.56024,3504,1488,1488,1488,1,0,0
1.57214,3504,1488,1488,1488,1,0,0
1.58395,3504,1488,1488,1488,1,0,0
1.59686,3504,1488,1488,1488,1,0,0
1.60883,3504,1488,1488,1488,1,0,0
1.62076,3504,1488,1488,1488,1,0,0
1.63312,3504,1488,1488,1488,1,0,0
1.64526,3504,1488,1488,1488,1,0,0
1.6571,3504,1488,1488,1488,1,0,0
1.66876,3504,1488,1488,1488,1,0,0
1.68106,3504,1488,1488,1488,1,0,0
1.69388,3504,1488,1488,1488,1,0,0
1.70676,3504,1488,1488,1488,1,0,0
1.71924,3504,1488,1488,1488,1,0,0
1.73132,3504,1488,1488,1488,1,0,0
1.74332,3504,1488,1488,1488,1,0,0
1.75485,3504,1488,1488,1488,1,0,0
1.76672,3504,1488,1488,1488,1,0,0
1.77869,3504,1488,1488,1488,1,0,0
1.79053,3504,1488,1488,1488,1,0,0
1.80389,3504,1488,1488,1488,1,0,0
1.8158,3504,1488,1488,1488,1,0,0
1.82819,3504,1488,1488,1488,1,0,0
1.84036,3504,1488,1488,1488,1,0,0
1.85266,3504,1488,1488,1488,1,0,0
1.86432,3504,1488,1488,1488,1,0,0
1.87607,3504,1488,1488,1488,1,0,0
1.88809,3504,1488,1488,1488,1,0,0
1.90134,3504,1488,1488,1488,1,0,0
1.91351,3504,1488,1488,1488,1,0,0
1.92602,3504,1488,1488,1488,1,0,0
1.93851,3504,1488,1488,1488,1,0,0
1.95047,3504,1488,1488,1488,1,0,0
1.96258,3504,1488,1488,1488,1,0,0
1.97464,3504,1488,1488,1488,1,0,0
1.98795,3504,1488,1488,1488,1,0,0
2.00009,3504,1488,1488,1488,1,0,0
2.01236,3504,1488,1488,1488,1,0,0
2.02405,3504,1488,1488,1488,1,0,0
2.03589,3504,1488,1488,1488,1,0,0
2.04785,3504,1488,1488,1488,1,0,0
2.05988,3504,1488,1488,1488,1,0,0
2.07175,3504,1488,1488,1488,1,0,0
2.08368,3504,1488,1488,1488,1,0,0
2.09732,3504,1488,1488,1488,1,0,0
2.10922,3504,1488,1488,1488,1,0,0
2.12146,3504,1488,1488,1488,1,0,0
2.13339,3504,1488,1488,1488,1,0,0
2.14511,3504,1488,1488,1488,1,0,0
2.15744,3504,1488,1488,1488,1,0,0
2.1694,3504,1488,1488,1488,1,0,0
2.18124,3504,1488,1488,1488,1,0,0
2.19321,3504,1488,1488,1488,1,0,0
2.20608,3504,1488,1488,1488,1,0,0
2.21826,3504,1488,1488,1488,1,0,0
2.23041,3504,1488,1488,1488,1,0,0
2.24268,3504,1488,1488,1488,1,0,0
2.25485,3504,1488,1488,1488,1,0,0
2.26648,3504,1488,1488,1488,1,0,0
2.27954,3504,1488,1488,1488,1,0,0
2.29382,3504,1488,1488,1488,1,0,0
2.30539,3504,1488,1488,1488,1,0,0
2.31729,3504,1488,1488,1488,1,0,0
2.32935,3504,1488,1488,1488,1,0,0
2.34146,3504,1488,1488,1488,1,0,0
2.3533,3504,1488,1488,1488,1,0,0
2.36533,3504,1488,1488,1488,1,0,0
2.37735,3504,1488,1488,1488,1,0,0
2.38919,3504,1488,1488,1488,1,0,0
2.4014,3504,1488,1488,1488,1,0,0
2.4144,3504,1488,1488,1488,1,0,0
2.4266,3504,1488,1488,1488,1,0,0
2.43887,3504,1488,1488,1488,1,0,0
2.45084,3504,1488,1488,1488,1,0,0
2.46268,3504,1488,1488,1488,1,0,0
2.47488,3504,1488,1488,1488,1,0,0
2.48712,3504,1488,1488,1488,1,0,0
2.49893,3504,1488,1488,1488,1,0,0
2.51233,3504,1488,1488,1488,1,0,0
2.52466,3504,1488,1488,1488,1,0,0
2.53674,3504,1488,1488,1488,1,0,0
2.54858,3504,1488,1488,1488,1,0,0
2.56033,3504,1488,1488,1488,1,0,0
2.57205,3504,1488,1488,1488,1,0,0
2.58398,3504,1488,1488,1488,1,0,0
2.59573,3504,1488,1488,1488,1,0,0
2.60764,3504,1488,1488,1488,1,0,0
2.62103,3504,1488,1488,1488,1,0,0
2.6337,3504,1488,1488,1488,1,0,0
2.64572,3504,1488,1488,1488,1,0,0
2.65817,3504,1488,1488,1488,1,0,0
2.67038,3504,1488,1488,1488,1,0,0
2.68207,3504,1488,1488,1488,1,0,0
2.69406,3504,1488,1488,1488,1,0,0
2.70581,3504,1488,1488,1488,1,0,0
2.71896,3504,1488,1488,1488,1,0,0
2.73148,3504,1488,1488,1488,1,0,0
2.74322,3504,1488,1488,1488,1,0,0
2.75558,3504,1488,1488,1488,1,0,0
2.76727,3504,1488,1488,1488,1,0,0
2.77887,3504,1488,1488,1488,1,0,0
2.79096,3504,1488,1488,1488,1,0,0
2.8027,3504,1488,1488,1488,1,0,0
2.81433,3504,1488,1488,1488,1,0,0
2.82623,3504,1488,1488,1488,1,0,0
2.83926,3504,1488,1488,1488,1,0,0
2.85147,3504,1488,1488,1488,1,0,0
2.86377,3504,1488,1488,1488,1,0,0
2.87564,3504,1488,1488,1488,1,0,0
2.88767,3504,1488,1488,1488,1,0,0
2.8999,3504,1488,1488,1488,1,0,0
2.91177,3504,1488,1488,1488,1,0,0
2.92358,3504,1488,1488,1488,1,0,0
2.93726,3504,1488,1488,1488,1,0,0
2.94949,3504,1488,1488,1488,1,0,0
2.96176,3504,1488,1488,1488,1,0,0
2.97375,3504,1488,1488,1488,1,0,0
2.9856,3504,1488,1488,1488,1,0,0
2.99771,3504,1488,1488,1488,1,0,0
3.00973,3504,1488,1488,1488,1,0,0
3.02167,3504,1488,1488,1488,1,0,0
3.03476,3504,1488,1488,1488,1,0,0
3.04703,3504,1488,1488,1488,1,0,0
3.0593,3504,1488,1488,1488,1,0,0
3.07135,3504,1488,1488,1488,1,0,0
3.08313,3504,1488,1488,1488,1,0,0
3.09506,3504,1488,1488,1488,1,0,0
3.10675,3504,1488,1488,1488,1,0,0
3.11896,3504,1488,1488,1488,1,0,0
3.13248,3504,1488,1488,1488,1,0,0
3.14447,3504,1488,1488,1488,1,0,0
3.15662,3504,1488,1488,1488,1,0,0
3.16892,3504,1488,1488,1488,1,0,0
