AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Tuesday-28-09-2010-165248.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
0,-0.0276043,-0.00193033,-0.0389735,-1.62216e-05,1.74502,-0.00933543,0,0,0,0,0,0,0,0,0,11.975
0.0115972,-0.027714,-0.00275058,-0.0393968,-0.00392224,1.74488,-0.00959989,0,0,0,0,0,0,0,0,0,11.975
0.0237131,-0.0277438,-0.00264606,-0.0390078,0.000199952,1.74479,-0.0116803,0,0,0,0,0,0,0,0,0,11.975
0.035645,-0.0277914,-0.00281689,-0.0388595,0.0015372,1.7444,-0.00928703,0,0,0,0,0,0,0,0,0,11.975
0.047272,-0.0277861,-0.00248647,-0.0388333,0.00162529,1.74413,-0.00816774,0,0,0,0,0,0,0,0,0,11.975
0.059021,-0.0277471,-0.00187624,-0.0389069,0.000782137,1.7439,-0.0074871,0,0,0,0,0,0,0,0,0,11.97
0.0706182,-0.0276655,-0.000933268,-0.0391014,-0.00109665,1.74363,-0.00646612,0,0,0,0,0,0,0,0,0,11.97
0.0823061,-0.0275625,0.000110836,-0.0393426,-0.00321375,1.74357,-0.00739868,0,0,0,0,0,0,0,0,0,11.964
0.09375,-0.0274783,0.000870396,-0.0392911,-0.00242092,1.74332,-0.00652268,0,0,0,0,0,0,0,0,0,11.964
0.105469,-0.0276105,-0.000437417,-0.039064,-8.21163e-05,1.7432,-0.00695949,0,0,0,0,0,0,0,0,0,11.97
0.116883,-0.0275879,-0.000184165,-0.0394041,-0.00323162,1.7432,-0.00836003,0,0,0,0,0,0,0,0,0,11.97
0.128449,-0.0276695,-0.000918939,-0.0392779,-0.0017429,1.74307,-0.00844975,0,0,0,0,0,0,0,0,0,11.97
0.139923,-0.027518,0.000571772,-0.039208,-0.000923282,1.74295,-0.00861218,0,0,0,0,0,0,0,0,0,11.975
0.151673,-0.0275919,-0.000167076,-0.0391812,-0.00058372,1.74299,-0.0102559,0,0,0,0,0,0,0,0,0,11.975
0.163636,-0.0276565,-0.000746869,-0.0391251,-7.52684e-06,1.74279,-0.00947532,0,0,0,0,0,0,0,0,0,11.975
0.176209,-0.0275424,0.000440552,-0.0393872,-0.00239049,1.74275,-0.0111056,0,0,0,0,0,0,0,0,0,11.967
0.187836,-0.0276081,-0.000204871,-0.0393135,-0.00147651,1.74243,-0.00909657,0,0,0,0,0,0,0,0,0,11.967
0.19925,-0.0273652,0.00207697,-0.0394443,-0.00254634,1.74239,-0.00979331,0,0,0,0,0,0,0,0,0,11.967
0.210785,-0.0273182,0.00230455,-0.0395545,-0.00331241,1.74238,-0.0107199,0,0,0,0,0,0,0,0,0,11.962
0.222474,-0.0271549,0.00358566,-0.0395046,-0.00251892,1.74256,-0.013378,0,0,0,0,0,0,0,0,0,11.964
0.233887,-0.0272394,0.0024449,-0.0395547,-0.00273047,1.74247,-0.0132654,0,0,0,0,0,0,0,0,0,11.962
0.245575,-0.0271051,0.00344033,-0.0396746,-0.00356458,1.74255,-0.0147433,0,0,0,0,0,0,0,0,0,11.967
0.257203,-0.0270631,0.00348325,-0.0392771,0.00045007,1.7427,-0.016754,0,0,0,0,0,0,0,0,0,11.972
0.268799,-0.0267739,0.00580453,-0.0396599,-0.00312842,1.74286,-0.0187543,0,0,0,0,0,0,0,0,0,11.972
0.280274,-0.0268859,0.00418683,-0.039757,-0.00371448,1.74278,-0.0182674,0,0,0,0,0,0,0,0,0,11.972
0.291657,-0.0268323,0.00426893,-0.039838,-0.00409849,1.74291,-0.0197624,0,0,0,0,0,0,0,0,0,11.972
0.303223,-0.0267793,0.00433214,-0.0399575,-0.00479533,1.74296,-0.0204272,0,0,0,0,0,0,0,0,0,11.972
0.314606,-0.0267775,0.00391592,-0.0397811,-0.0026783,1.74315,-0.0223869,0,0,0,0,0,0,0,0,0,11.972
0.326111,-0.0268696,0.00267619,-0.0397878,-0.00247142,1.74332,-0.02396,0,0,0,0,0,0,0,0,0,11.959
0.338379,-0.0267063,0.00346234,-0.0397558,-0.00190885,1.74355,-0.0257923,0,0,0,0,0,0,0,0,0,11.972
0.350129,-0.0268607,0.0017071,-0.0398851,-0.00289766,1.74335,-0.0236487,0,0,0,0,0,0,0,0,0,11.972
0.361664,-0.0269931,0.00032078,-0.0396097,-8.02216e-05,1.74314,-0.0216651,0,0,0,0,0,0,0,0,0,11.972
0.37323,-0.0270303,-5.62671e-05,-0.0393666,0.00218408,1.74293,-0.0196891,0,0,0,0,0,0,0,0,0,11.972
0.384705,-0.0271277,-0.00094731,-0.0392813,0.00275138,1.74286,-0.0192722,0,0,0,0,0,0,0,0,0,11.964
0.396271,-0.0271342,-0.000912912,-0.0393102,0.00220857,1.74238,-0.0150306,0,0,0,0,0,0,0,0,0,11.964
0.407654,-0.0273543,-0.00285294,-0.0392457,0.00258361,1.74231,-0.0150523,0,0,0,0,0,0,0,0,0,11.97
0.41919,-0.0272282,-0.0014072,-0.0392287,0.002482,1.74197,-0.0123763,0,0,0,0,0,0,0,0,0,11.972
0.430695,-0.0272161,-0.00115466,-0.0391503,0.0029553,1.74164,-0.010104,0,0,0,0,0,0,0,0,0,11.981
0.442078,-0.0273911,-0.00265454,-0.0389571,0.00444254,1.74181,-0.0126876,0,0,0,0,0,0,0,0,0,11.981
0.453492,-0.0273563,-0.0020654,-0.0389609,0.00396308,1.74154,-0.0108199,0,0,0,0,0,0,0,0,0,11.981
0.464936,-0.027291,-0.00125239,-0.0387172,0.00582917,1.7416,-0.0122972,0,0,0,0,0,0,0,0,0,11.981
0.476349,-0.0271858,-0.000156206,-0.0387933,0.00454378,1.74136,-0.0107136,0,0,0,0,0,0,0,0,0,11.981
0.487824,-0.0272208,-0.000463562,-0.0389358,0.0027739,1.74133,-0.0112486,0,0,0,0,0,0,0,0,0,11.981
0.499207,-0.0272809,-0.000976952,-0.0390118,0.00178938,1.74108,-0.00971533,0,0,0,0,0,0,0,0,0,11.981
0.510895,-0.0274626,-0.00257561,-0.0388394,0.00322018,1.74126,-0.0122833,0,0,0,0,0,0,0,0,0,11.964
0.523163,-0.0272799,-0.000516496,-0.0386064,0.00459715,1.74115,-0.0126531,0,0,0,0,0,0,0,0,0,11.964
0.53476,-0.0269417,0.00265665,-0.0384929,0.00518544,1.74133,-0.0149001,0,0,0,0,0,0,0,0,0,11.964
0.546265,-0.0271402,0.000548834,-0.0385551,0.00408951,1.74103,-0.0124572,0,0,0,0,0,0,0,0,0,11.964
0.558045,-0.0269266,0.00246595,-0.0386278,0.00300912,1.74103,-0.0130084,0,0,0,0,0,0,0,0,0,11.967
0.56958,-0.0269751,0.00176745,-0.0385611,0.00332911,1.7411,-0.0141308,0,0,0,0,0,0,0,0,0,11.967
0.581086,-0.0268226,0.00299869,-0.0384306,0.00420051,1.74121,-0.0155494,0,0,0,0,0,0,0,0,0,11.967
0.592682,-0.0266337,0.00445648,-0.0384956,0.00317602,1.74131,-0.0167988,0,0,0,0,0,0,0,0,0,11.967
0.604126,-0.0267145,0.00326296,-0.0384693,0.00310137,1.74141,-0.0178689,0,0,0,0,0,0,0,0,0,11.967
0.615509,-0.0267869,0.00226886,-0.0386553,0.00107456,1.74134,-0.0172255,0,0,0,0,0,0,0,0,0,11.967
0.626954,-0.0268393,0.00155539,-0.0388957,-0.00126497,1.74127,-0.0165921,0,0,0,0,0,0,0,0,0,11.967
0.638367,-0.0266864,0.00281489,-0.0391239,-0.00325038,1.74152,-0.0191258,0,0,0,0,0,0,0,0,0,11.967
