AHNS SENSOR MESSAGES LOG FOR logs/SENSOR_DATA_Tuesday-28-09-2010-165248.log
TIME, IMU_ROLL_DOT, IMU_PITCH_DOT, IMU_YAW_DOT, IMU_AX, IMU_AY, IMU_AZ, SENSOR_Z, COMPASS_PSI
0,-0.7644,-1.5756,-0.6552,-0.38589,-0.276216,9.80161,0.177,99.7
0.011627,-1.3884,-1.17,0.702,-0.394014,-0.268092,9.80973,0.185,99.7
0.0231929,-1.4664,0.8424,-0.6864,-0.389952,-0.276216,9.79348,0.185,99.7
0.0357358,-1.794,-2.2152,-1.5912,-0.394014,-0.280278,9.79754,0.185,99.7
0.047241,-1.1388,-2.262,0.702,-0.377766,-0.26403,9.80973,0.185,99.7
0.0588989,-0.858,-1.6224,0.1092,-0.381828,-0.272154,9.80161,0.217,99.7
0.070617,-0.6552,-1.0608,-0.078,-0.373704,-0.280278,9.80973,0.222,99.7
0.0822139,-0.4212,-0.3744,0.156,-0.377766,-0.268092,9.79754,0.222,99.7
0.0939329,-0.2964,-0.078,-0.9048,-0.377766,-0.268092,9.79754,0.225,99.7
0.105346,-0.39,-1.638,0.078,-0.38589,-0.268092,9.80567,0.222,99.7
0.117187,-1.5444,-2.6052,-0.624,-0.381828,-0.276216,9.81379,0.225,99.7
0.128479,-0.7332,0.4524,-1.2012,-0.389952,-0.26403,9.79348,0.247,99.7
0.140075,-1.3104,-2.0436,-0.5304,-0.381828,-0.26403,9.79754,0.252,99.7
0.15152,-0.0468,-1.7472,-0.5772,-0.377766,-0.272154,9.80161,0.26,99.7
0.163544,-1.248,-1.5288,-1.4352,-0.38589,-0.272154,9.80161,0.26,99.7
0.175232,-1.17,-1.6848,-0.1404,-0.377766,-0.292464,9.78536,0.26,99.7
0.187958,-0.156,0.0468,0,-0.38589,-0.272154,9.79348,0.239,99.7
0.199615,-1.17,-1.716,0.5148,-0.36558,-0.272154,9.78942,0.239,99.7
0.210846,0.5148,-0.6084,-0.9204,-0.381828,-0.272154,9.78536,0.239,99.7
0.222351,-0.5148,-0.7176,-1.092,-0.389952,-0.276216,9.78536,0.204,99.7
0.23407,0.1092,-1.56,-2.1372,-0.373704,-0.259968,9.79348,0.185,99.7
0.245483,-1.2168,-1.014,-0.702,-0.377766,-0.272154,9.78536,0.171,99.7
0.257171,-0.0468,-0.6396,-1.6068,-0.389952,-0.26403,9.78942,0.168,99.7
0.268768,-0.546,-3.432,-1.9968,-0.377766,-0.259968,9.78536,0.168,99.7
0.280426,0.8112,0.7488,-2.106,-0.38589,-0.268092,9.79348,0.168,99.7
0.291839,-1.326,-0.7488,-0.7956,-0.38589,-0.272154,9.79754,0.168,99.7
0.303253,-0.4368,-0.8268,-1.9032,-0.389952,-0.268092,9.80973,0.168,99.7
0.314789,-0.4212,-0.624,-1.5132,-0.394014,-0.276216,9.79348,0.168,99.7
0.326202,-0.6864,-2.1996,-2.2932,-0.369642,-0.272154,9.79348,0.168,99.7
0.337707,-1.2168,-1.2012,-2.184,-0.369642,-0.259968,9.80161,0.204,99.7
0.350189,-0.9048,-0.2808,-1.6224,-0.373704,-0.288402,9.78942,0.201,99.7
0.361725,-1.5132,-0.4836,-0.2496,-0.369642,-0.26403,9.78942,0.222,99.7
