AHNS AP STATE MESSAGES LOG FOR logs/AP_State_Friday-15-10-2010-142953.log
TIME, REF_PHI, REF_THETA, REF_PSI, REF_X, REF_Y, REF_Z, PHI_ACTIVE, THETA_ACTIVE, PSI_ACTIVE, X_ACTIVE, Y_ACTIVE, Z_ACTIVE
0,0,0,-32,0,0,0,0,0,0,0,0,0
0.0107419,0,0,-32,0,0,0,0,0,0,0,0,0
0.021667,0,0,-16,0,0,0,0,0,0,0,0,0
0.0324399,0,0,-16,0,0,0,0,0,0,0,0,0
0.0431209,0,0,-16,0,0,0,0,0,0,0,0,0
0.0540459,0,0,-16,0,0,0,0,0,0,0,0,0
0.065521,0,0,-16,0,0,0,0,0,0,0,0,0
0.076416,0,0,-16,0,0,0,0,0,0,0,0,0
0.0869749,0,0,-32,0,0,0,0,0,0,0,0,0
0.098022,0,0,-32,0,0,0,0,0,0,0,0,0
0.108947,0,0,-32,0,0,0,0,0,0,0,0,0
0.119689,0,0,-32,0,0,0,0,0,0,0,0,0
0.345336,0,0,-32,0,0,0,0,0,0,0,0,0
0.356048,0,0,-32,0,0,0,0,0,0,0,0,0
0.36676,0,0,-32,0,0,0,0,0,0,0,0,0
0.377716,0,0,-32,0,0,0,0,0,0,0,0,0
0.388885,0,0,-32,0,0,0,0,0,0,0,0,0
0.39978,0,0,-32,0,0,0,0,0,0,0,0,0
0.410614,0,0,-32,0,0,0,0,0,0,0,0,0
0.4216,0,0,-32,0,0,0,0,0,0,0,0,0
0.432525,0,0,-32,0,0,0,0,0,0,0,0,0
0.443542,0,0,-32,0,0,0,0,0,0,0,0,0
0.45465,0,0,-32,0,0,0,0,0,0,0,0,0
0.465545,0,0,-32,0,0,0,0,0,0,0,0,0
0.476318,0,0,-16,0,0,0,0,0,0,0,0,0
0.48703,0,0,-32,0,0,0,0,0,0,0,0,0
0.497741,0,0,-32,0,0,0,0,0,0,0,0,0
0.508636,0,0,-32,0,0,0,0,0,0,0,0,0
0.5195,0,0,-32,0,0,0,0,0,0,0,0,0
0.530181,0,0,-32,0,0,0,0,0,0,0,0,0
0.541137,0,0,-32,0,0,0,0,0,0,0,0,0
0.552124,0,0,-32,0,0,0,0,0,0,0,0,0
0.563049,0,0,-32,0,0,0,0,0,0,0,0,0
0.573974,0,0,-32,0,0,0,0,0,0,0,0,0
0.585266,0,0,-16,0,0,0,0,0,0,0,0,0
0.59616,0,0,-16,0,0,0,0,0,0,0,0,0
0.606842,0,0,-16,0,0,0,0,0,0,0,0,0
0.617614,0,0,-32,0,0,0,0,0,0,0,0,0
0.628631,0,0,-32,0,0,0,0,0,0,0,0,0
0.639404,0,0,-32,0,0,0,0,0,0,0,0,0
0.651123,0,0,-32,0,0,0,0,0,0,0,0,0
0.661956,0,0,-32,0,0,0,0,0,0,0,0,0
0.672821,0,0,-32,0,0,0,0,0,0,0,0,0
0.683593,0,0,-32,0,0,0,0,0,0,0,0,0
0.694702,0,0,-32,0,0,0,0,0,0,0,0,0
0.705627,0,0,-32,0,0,0,0,0,0,0,0,0
0.716491,0,0,-32,0,0,0,0,0,0,0,0,0
0.727355,0,0,-32,0,0,0,0,0,0,0,0,0
0.738372,0,0,-32,0,0,0,0,0,0,0,0,0
0.749389,0,0,-32,0,0,0,0,0,0,0,0,0
0.760131,0,0,-32,0,0,0,0,0,0,0,0,0
0.770874,0,0,-32,0,0,0,0,0,0,0,0,0
0.781799,0,0,-32,0,0,0,0,0,0,0,0,0
0.79248,0,0,-32,0,0,0,0,0,0,0,0,0
0.8031,0,0,-32,0,0,0,0,0,0,0,0,0
0.814056,0,0,-32,0,0,0,0,0,0,0,0,0
0.82489,0,0,-32,0,0,0,0,0,0,0,0,0
0.835723,0,0,-32,0,0,0,0,0,0,0,0,0
0.846618,0,0,-32,0,0,0,0,0,0,0,0,0
0.857574,0,0,-32,0,0,0,0,0,0,0,0,0
0.868713,0,0,-16,0,0,0,0,0,0,0,0,0
0.879516,0,0,-16,0,0,0,0,0,0,0,0,0
0.890197,0,0,-32,0,0,0,0,0,0,0,0,0
0.901092,0,0,-16,0,0,0,0,0,0,0,0,0
0.911865,0,0,-16,0,0,0,0,0,0,0,0,0
0.922851,0,0,-16,0,0,0,0,0,0,0,0,0
0.933746,0,0,-16,0,0,0,0,0,0,0,0,0
0.944702,0,0,-16,0,0,0,0,0,0,0,0,0
0.955383,0,0,-32,0,0,0,0,0,0,0,0,0
0.966125,0,0,-32,0,0,0,0,0,0,0,0,0
0.97705,0,0,-32,0,0,0,0,0,0,0,0,0
0.987915,0,0,-32,0,0,0,0,0,0,0,0,0
0.998596,0,0,-32,0,0,0,0,0,0,0,0,0
1.00952,0,0,-32,0,0,0,0,0,0,0,0,0
1.02045,0,0,-32,0,0,0,0,0,0,0,0,0
1.03125,0,0,-32,0,0,0,0,0,0,0,0,0
1.04218,0,0,-32,0,0,0,0,0,0,0,0,0
1.05286,0,0,-32,0,0,0,0,0,0,0,0,0
1.06384,0,0,-32,0,0,0,0,0,0,0,0,0
1.07477,0,0,-32,0,0,0,0,0,0,0,0,0
1.08551,0,0,-32,0,0,0,0,0,0,0,0,0
1.09622,0,0,-32,0,0,0,0,0,0,0,0,0
1.10715,0,0,-32,0,0,0,0,0,0,0,0,0
1.11804,0,0,-32,0,0,0,0,0,0,0,0,0
1.12894,0,0,-32,0,0,0,0,0,0,0,0,0
1.13953,0,0,-32,0,0,0,0,0,0,0,0,0
1.15048,0,0,-32,0,0,0,0,0,0,0,0,0
1.1615,0,0,-32,0,0,0,0,0,0,0,0,0
1.17236,0,0,-32,0,0,0,0,0,0,0,0,0
1.18307,0,0,-32,0,0,0,0,0,0,0,0,0
1.19397,0,0,0,0,0,0,0,0,0,0,0,0
1.20483,0,0,0,0,0,0,0,0,0,0,0,0
1.21573,0,0,-32,0,0,0,0,0,0,0,0,0
1.22672,0,0,-32,0,0,0,0,0,0,0,0,0
1.23718,0,0,-16,0,0,0,0,0,0,0,0,0
1.24805,0,0,-16,0,0,0,0,0,0,0,0,0
1.25888,0,0,-32,0,0,0,0,0,0,0,0,0
1.2702,0,0,-32,0,0,0,0,0,0,0,0,0
1.28094,0,0,-32,0,0,0,0,0,0,0,0,0
1.29184,0,0,-32,0,0,0,0,0,0,0,0,0
1.30276,0,0,-32,0,0,0,0,0,0,0,0,0
1.31342,0,0,-32,0,0,0,0,0,0,0,0,0
1.32437,0,0,-32,0,0,0,0,0,0,0,0,0
1.33591,0,0,-32,0,0,0,0,0,0,0,0,0
1.3468,0,0,-16,0,0,0,0,0,0,0,0,0
1.3576,0,0,-16,0,0,0,0,0,0,0,0,0
1.36859,0,0,-32,0,0,0,0,0,0,0,0,0
1.37955,0,0,-32,0,0,0,0,0,0,0,0,0
1.39026,0,0,-32,0,0,0,0,0,0,0,0,0
1.40127,0,0,-32,0,0,0,0,0,0,0,0,0
1.41211,0,0,-32,0,0,0,0,0,0,0,0,0
1.42297,0,0,-32,0,0,0,0,0,0,0,0,0
1.4339,0,0,-32,0,0,0,0,0,0,0,0,0
1.44458,0,0,-32,0,0,0,0,0,0,0,0,0
1.45535,0,0,-16,0,0,0,0,0,0,0,0,0
1.46625,0,0,-16,0,0,0,0,0,0,0,0,0
1.47726,0,0,-32,0,0,0,0,0,0,0,0,0
1.48898,0,0,-32,0,0,0,0,0,0,0,0,0
1.50021,0,0,-32,0,0,0,0,0,0,0,0,0
1.51117,0,0,-32,0,0,0,0,0,0,0,0,0
1.52173,0,0,-16,0,0,0,0,0,0,0,0,0
1.53232,0,0,-16,0,0,0,0,0,0,0,0,0
1.54297,0,0,-16,0,0,0,0,0,0,0,0,0
1.5535,0,0,-16,0,0,0,0,0,0,0,0,0
1.56439,0,0,-32,0,0,0,0,0,0,0,0,0
1.57516,0,0,-32,0,0,0,0,0,0,0,0,0
1.58588,0,0,-32,0,0,0,0,0,0,0,0,0
1.59659,0,0,-32,0,0,0,0,0,0,0,0,0
1.6181,0,0,-32,0,0,0,0,0,0,0,0,0
1.62958,0,0,-16,0,0,0,0,0,0,0,0,0
1.64011,0,0,-16,0,0,0,0,0,0,0,0,0
1.65112,0,0,-16,0,0,0,0,0,0,0,0,0
1.66245,0,0,-16,0,0,0,0,0,0,0,0,0
1.67377,0,0,-16,0,0,0,0,0,0,0,0,0
1.68506,0,0,-16,0,0,0,0,0,0,0,0,0
1.69647,0,0,-16,0,0,0,0,0,0,0,0,0
1.70758,0,0,-16,0,0,0,0,0,0,0,0,0
1.7186,0,0,-16,0,0,0,0,0,0,0,0,0
1.7298,0,0,-16,0,0,0,0,0,0,0,0,0
1.74124,0,0,-16,0,0,0,0,0,0,0,0,0
1.75333,0,0,-32,0,0,0,0,0,0,0,0,0
1.76398,0,0,-32,0,0,0,0,0,0,0,0,0
1.77539,0,0,-32,0,0,0,0,0,0,0,0,0
