AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Friday-15-10-2010-141305.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
0,0,0,0,0,4.72674,0,0,0,0,0,0,0,0.187226,0,0,11.863
0.0109248,0,0,0,0,4.7363,0,0,0,0,0,0,0,0.187226,0,0,11.863
0.022064,0,0,0,0,4.74569,0,0,0,0,0,0,0,0.187226,0,0,11.863
0.03299,0,0,0,0,4.75497,0,0,0,0,0,0,0,0.187226,0,0,11.863
0.043762,0,0,0,0,4.76395,0,0,0,0,0,0,0,0.19309,0.529361,0,11.866
0.0545959,0,0,0,0,4.77401,0,0,0,0,0,0,0,0.199524,0.587228,0,11.926
0.0654299,0,0,0,0,4.78495,0,0,0,0,0,0,0,0.199524,0,0,11.926
0.076386,0,0,0,0,4.79567,0,0,0,0,0,0,0,0.199524,0,0,11.926
0.0870359,0,0,0,0,4.8062,0,0,0,0,0,0,0,0.204527,0.452919,0,11.907
0.0981448,0,0,0,0,4.81753,0,0,0,0,0,0,0,0.21394,0.856821,0,11.885
0.1091,0,0,0,0,4.82939,0,0,0,0,0,0,0,0.219824,0.537072,0,11.874
0.119965,0,0,0,0,4.8416,0,0,0,0,0,0,0,0.227187,0.673906,0,11.896
0.488709,0,0,0,0,5.2415,0,0,0,0,0,0,0,0.262193,-0.210194,0,11.86
0.500031,0,0,0,0,5.24998,0,0,0,0,0,0,0,0.262193,0,0,11.86
0.511261,0,0,0,0,5.25821,0,0,0,0,0,0,0,0.262193,0,0,11.86
0.522705,0,0,0,0,5.25727,0,0,0,0,0,0,0,0.260919,-0.112479,0,11.888
0.533966,0,0,0,0,5.24657,0,0,0,0,0,0,0,0.260715,-0.0179996,0,11.866
0.545532,0,0,0,0,5.23894,0,0,0,0,0,0,0,0.258635,-0.188292,0,11.839
0.557037,0,0,0,0,5.23355,0,0,0,0,0,0,0,0.25859,-0.00384208,0,11.855
0.568482,0,0,0,0,5.22831,0,0,0,0,0,0,0,0.264219,0.510904,0,11.858
0.580109,0,0,0,0,5.2256,0,0,0,0,0,0,0,0.264219,0,0,11.858
0.591339,0,0,0,0,5.22436,0,0,0,0,0,0,0,0.264694,0.0423807,0,11.871
0.602356,0,0,0,0,5.22299,0,0,0,0,0,0,0,0.264694,0,0,11.871
0.613953,0,0,0,0,5.22189,0,0,0,0,0,0,0,0.264694,0,0,11.871
0.625427,0,0,0,0,5.22233,0,0,0,0,0,0,0,0.262335,-0.216481,0,11.849
0.636719,0,0,0,0,5.22275,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.647766,0,0,0,0,5.22275,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.658417,0,0,0,0,5.22323,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.670258,0,0,0,0,5.22306,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.681427,0,0,0,0,5.22309,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.693512,0,0,0,0,5.22363,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.705353,0,0,0,0,5.22388,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.717316,0,0,0,0,5.22403,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.728821,0,0,0,0,5.22386,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.739807,0,0,0,0,5.22342,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.751343,0,0,0,0,5.22313,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.762756,0,0,0,0,5.22253,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.773712,0,0,0,0,5.22189,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.785584,0,0,0,0,5.22161,0,0,0,0,0,0,0,0.262335,0,0,11.849
0.796784,0,0,0,0,5.22161,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.808228,0,0,0,0,5.22123,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.81955,0,0,0,0,5.22086,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.830719,0,0,0,0,5.22042,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.841827,0,0,0,0,5.22042,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.852631,0,0,0,0,5.22022,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.863556,0,0,0,0,5.21996,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.874207,0,0,0,0,5.21914,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.884949,0,0,0,0,5.21829,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.895783,0,0,0,0,5.21737,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.906769,0,0,0,0,5.21645,0,0,0,0,0,0,0,0.254472,0,0,11.841
0.91745,0,0,0,0,5.21548,0,0,0,0,0,0,0,0.248069,-0.584428,0,11.825
0.928345,0,0,0,0,5.20817,0,0,0,0,0,0,0,0.251564,0.314657,0,11.817
0.939179,0,0,0,0,5.19527,0,0,0,0,0,0,0,0.251564,0,0,11.817
0.950012,0,0,0,0,5.1825,0,0,0,0,0,0,0,0.251564,0,0,11.817
0.960907,0,0,0,0,5.1698,0,0,0,0,0,0,0,0.251564,0,0,11.817
0.971619,0,0,0,0,5.15755,0,0,0,0,0,0,0,0.251564,0,0,11.817
0.982605,0,0,0,0,5.14511,0,0,0,0,0,0,0,0.253904,0.21245,0,11.855
0.993286,0,0,0,0,5.12906,0,0,0,0,0,0,0,0.253904,0,0,11.855
1.00394,0,0,0,0,5.11311,0,0,0,0,0,0,0,0.253904,0,0,11.855
1.01471,0,0,0,0,5.09747,0,0,0,0,0,0,0,0.253904,0,0,11.855
1.02539,0,0,0,0,5.08195,0,0,0,0,0,0,0,0.253904,0,0,11.855
1.0361,0,0,0,0,5.06663,0,0,0,0,0,0,0,0.268331,1.30948,0,11.877
1.04678,0,0,0,0,5.04223,0,0,0,0,0,0,0,0.279858,1.05221,0,11.882
1.05768,0,0,0,0,5.00984,0,0,0,0,0,0,0,0.279858,0,0,11.882
1.06824,0,0,0,0,4.97784,0,0,0,0,0,0,0,0.279858,0,0,11.882
1.07922,0,0,0,0,4.94629,0,0,0,0,0,0,0,0.281128,0.116241,0,11.885
1.08997,0,0,0,0,4.90768,0,0,0,0,0,0,0,0.281128,0,0,11.885
1.10086,0,0,0,0,4.86962,0,0,0,0,0,0,0,0.281128,0,0,11.885
1.11209,0,0,0,0,4.83211,0,0,0,0,0,0,0,0.280419,-0.0650713,0,11.863
1.12295,0,0,0,0,4.79347,0,0,0,0,0,0,0,0.27885,-0.143645,0,11.822
1.13354,0,0,0,0,4.75387,0,0,0,0,0,0,0,0.27885,0,0,11.822
1.14441,0,0,0,0,4.71484,0,0,0,0,0,0,0,0.27885,0,0,11.822
1.15506,0,0,0,0,4.67638,0,0,0,0,0,0,0,0.27361,-0.475587,0,11.77
1.16678,0,0,0,0,4.63713,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.17764,0,0,0,0,4.59845,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.18835,0,0,0,0,4.56035,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.19897,0,0,0,0,4.52282,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.20959,0,0,0,0,4.48568,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.22024,0,0,0,0,4.44917,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.23105,0,0,0,0,4.4132,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.24182,0,0,0,0,4.37772,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.2525,0,0,0,0,4.34283,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.26367,0,0,0,0,4.3084,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.27429,0,0,0,0,4.27455,0,0,0,0,0,0,0,0.27361,0,0,11.77
1.28479,0,0,0,0,4.24121,0,0,0,0,0,0,0,0.265867,-0.704789,0,11.817
1.29538,0,0,0,0,4.20504,0,0,0,0,0,0,0,0.265867,0,0,11.817
1.30582,0,0,0,0,4.16952,0,0,0,0,0,0,0,0.265867,0,0,11.817
1.31659,0,0,0,0,4.13453,0,0,0,0,0,0,0,0.257757,-0.740361,0,11.83
1.3273,0,0,0,0,4.09718,0,0,0,0,0,0,0,0.257757,0,0,11.83
1.33798,0,0,0,0,4.06035,0,0,0,0,0,0,0,0.257757,0,0,11.83
1.34866,0,0,0,0,4.02423,0,0,0,0,0,0,0,0.258684,0.0850876,0,11.863
1.35934,0,0,0,0,3.98598,0,0,0,0,0,0,0,0.253876,-0.440038,0,11.877
1.37006,0,0,0,0,3.94593,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.38071,0,0,0,0,3.90658,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.39142,0,0,0,0,3.86742,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.40274,0,0,0,0,3.86742,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.41428,0,0,0,0,3.79113,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.42529,0,0,0,0,3.75391,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.43692,0,0,0,0,3.71737,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.4476,0,0,0,0,3.68167,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.45834,0,0,0,0,3.64615,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.46954,0,0,0,0,3.61138,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.4805,0,0,0,0,3.61138,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.49213,0,0,0,0,3.57665,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.50326,0,0,0,0,3.50981,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.51456,0,0,0,0,3.47707,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.52576,0,0,0,0,3.44502,0,0,0,0,0,0,0,0.253876,0,0,11.877
1.53683,0,0,0,0,3.41345,0,0,0,0,0,0,0,0.253876,0,0,11.877
