AHNS SENSOR MESSAGES LOG FOR logs/SENSOR_DATA_Friday-15-10-2010-142953.log
TIME, IMU_ROLL_DOT, IMU_PITCH_DOT, IMU_YAW_DOT, IMU_AX, IMU_AY, IMU_AZ, SENSOR_Z, COMPASS_PSI
0,0,0,0,0,0,0,0.196096,205.8
0.0107429,0,0,0,0,0,0,0.196096,205.834
0.021668,0,0,0,0,0,0,0.196096,205.834
0.0324409,0,0,0,0,0,0,0.196096,205.834
0.0431221,0,0,0,0,0,0,0.196096,205.834
0.0540469,0,0,0,0,0,0,0.19854,205.8
0.065522,0,0,0,0,0,0,0.19854,205.831
0.076355,0,0,0,0,0,0,0.197942,205.8
0.0869761,0,0,0,0,0,0,0.204946,205.8
0.0980229,0,0,0,0,0,0,0.2011,205.8
0.108948,0,0,0,0,0,0,0.193743,205.8
0.11969,0,0,0,0,0,0,0.188791,205.8
0.345337,0,0,0,0,0,0,0.189631,206
0.356049,0,0,0,0,0,0,0.188747,206
0.366761,0,0,0,0,0,0,0.188747,205.758
0.377717,0,0,0,0,0,0,0.189815,206
0.388855,0,0,0,0,0,0,0.189815,205.782
0.399781,0,0,0,0,0,0,0.189815,205.782
0.410615,0,0,0,0,0,0,0.189815,205.782
0.421601,0,0,0,0,0,0,0.189815,205.782
0.432526,0,0,0,0,0,0,0.189815,205.782
0.443512,0,0,0,0,0,0,0.189815,205.782
0.454651,0,0,0,0,0,0,0.189815,205.782
0.465546,0,0,0,0,0,0,0.195498,205.7
0.476319,0,0,0,0,0,0,0.195498,205.774
0.487,0,0,0,0,0,0,0.197983,205.7
0.497742,0,0,0,0,0,0,0.198404,205.7
0.508606,0,0,0,0,0,0,0.199706,205.7
0.519471,0,0,0,0,0,0,0.199026,205.7
0.530182,0,0,0,0,0,0,0.204065,205.7
0.541108,0,0,0,0,0,0,0.20875,205.7
0.552094,0,0,0,0,0,0,0.20875,205.739
0.56305,0,0,0,0,0,0,0.20875,205.739
0.573945,0,0,0,0,0,0,0.213108,205.7
0.585267,0,0,0,0,0,0,0.213108,205.735
0.596131,0,0,0,0,0,0,0.213108,205.735
0.606812,0,0,0,0,0,0,0.213108,205.735
0.617615,0,0,0,0,0,0,0.213108,205.735
0.628602,0,0,0,0,0,0,0.213108,205.735
0.639405,0,0,0,0,0,0,0.213108,205.735
0.651093,0,0,0,0,0,0,0.213108,205.735
0.661957,0,0,0,0,0,0,0.21338,205.7
0.672791,0,0,0,0,0,0,0.208943,205.7
0.683594,0,0,0,0,0,0,0.207617,205.7
0.694703,0,0,0,0,0,0,0.207364,205.7
0.705628,0,0,0,0,0,0,0.212799,205.7
0.716462,0,0,0,0,0,0,0.214073,205.9
0.727326,0,0,0,0,0,0,0.214073,205.739
0.738373,0,0,0,0,0,0,0.214073,205.739
0.74936,0,0,0,0,0,0,0.217148,205.9
0.760132,0,0,0,0,0,0,0.215247,205.9
0.770875,0,0,0,0,0,0,0.21348,205.9
0.781769,0,0,0,0,0,0,0.21348,205.782
0.79242,0,0,0,0,0,0,0.21348,205.782
0.803101,0,0,0,0,0,0,0.21348,205.782
0.814057,0,0,0,0,0,0,0.21348,205.782
0.82486,0,0,0,0,0,0,0.21348,205.782
0.835724,0,0,0,0,0,0,0.21348,205.782
0.846558,0,0,0,0,0,0,0.21348,205.782
0.857544,0,0,0,0,0,0,0.211836,205.8
0.868683,0,0,0,0,0,0,0.215068,205.8
0.879365,0,0,0,0,0,0,0.215203,205.8
0.890198,0,0,0,0,0,0,0.218199,205.8
0.901093,0,0,0,0,0,0,0.221895,205.8
0.911835,0,0,0,0,0,0,0.217772,205.8
0.922822,0,0,0,0,0,0,0.220588,205.8
0.933716,0,0,0,0,0,0,0.224117,205.8
0.944703,0,0,0,0,0,0,0.224117,205.792
0.955353,0,0,0,0,0,0,0.224117,205.792
0.966126,0,0,0,0,0,0,0.225509,205.8
0.977051,0,0,0,0,0,0,0.225509,205.793
0.987916,0,0,0,0,0,0,0.225509,205.793
0.998597,0,0,0,0,0,0,0.225509,205.793
1.00949,0,0,0,0,0,0,0.225509,205.793
1.02045,0,0,0,0,0,0,0.225509,205.793
1.03122,0,0,0,0,0,0,0.225509,205.793
1.04215,0,0,0,0,0,0,0.225509,205.793
1.05286,0,0,0,0,0,0,0.227783,205.8
1.06384,0,0,0,0,0,0,0.228008,205.8
1.07474,0,0,0,0,0,0,0.232908,205.8
1.08551,0,0,0,0,0,0,0.230884,205.8
1.09622,0,0,0,0,0,0,0.232782,205.8
1.10712,0,0,0,0,0,0,0.235458,205.8
1.11801,0,0,0,0,0,0,0.231366,205.8
1.12894,0,0,0,0,0,0,0.22756,205.9
1.13953,0,0,0,0,0,0,0.22756,205.807
1.15048,0,0,0,0,0,0,0.22756,205.807
1.16144,0,0,0,0,0,0,0.22756,205.807
1.17236,0,0,0,0,0,0,0.22756,205.807
1.18307,0,0,0,0,0,0,0.22756,205.807
1.19397,0,0,0,0,0,0,0.22756,205.807
1.20483,0,0,0,0,0,0,0.22756,205.807
1.21573,0,0,0,0,0,0,0.227801,205.6
1.22672,0,0,0,0,0,0,0.230825,205.6
1.23718,0,0,0,0,0,0,0.231747,205.6
1.24805,0,0,0,0,0,0,0.227915,205.6
1.25888,0,0,0,0,0,0,0.224351,205.8
1.2702,0,0,0,0,0,0,0.227616,205.8
1.28095,0,0,0,0,0,0,0.227616,205.748
1.29181,0,0,0,0,0,0,0.227616,205.748
1.30273,0,0,0,0,0,0,0.224073,205.8
1.31342,0,0,0,0,0,0,0.224558,205.8
1.32434,0,0,0,0,0,0,0.220249,206.1
1.33591,0,0,0,0,0,0,0.220249,205.792
1.3468,0,0,0,0,0,0,0.220249,205.792
1.3576,0,0,0,0,0,0,0.220249,205.792
1.36859,0,0,0,0,0,0,0.220249,205.792
1.37952,0,0,0,0,0,0,0.220249,205.792
1.39026,0,0,0,0,0,0,0.220249,205.792
1.40128,0,0,0,0,0,0,0.220249,205.792
1.41211,0,0,0,0,0,0,0.214351,205.8
1.42297,0,0,0,0,0,0,0.215517,205.8
1.4339,0,0,0,0,0,0,0.217511,205.8
1.44458,0,0,0,0,0,0,0.219365,206
1.45532,0,0,0,0,0,0,0.219365,205.815
1.46622,0,0,0,0,0,0,0.219365,205.815
1.47723,0,0,0,0,0,0,0.215419,206
1.48898,0,0,0,0,0,0,0.21462,206
1.50021,0,0,0,0,0,0,0.214787,206
1.51117,0,0,0,0,0,0,0.214787,205.865
1.52173,0,0,0,0,0,0,0.214787,205.865
1.53232,0,0,0,0,0,0,0.214787,205.865
1.54297,0,0,0,0,0,0,0.214787,205.865
1.5535,0,0,0,0,0,0,0.214787,205.865
1.56439,0,0,0,0,0,0,0.214787,205.865
1.57517,0,0,0,0,0,0,0.214787,205.865
1.58588,0,0,0,0,0,0,0.213052,205.8
1.59659,0,0,0,0,0,0,0.210528,206
1.60724,0,0,0,0,0,0,0.209091,206
1.6181,0,0,0,0,0,0,0.208735,206
1.62955,0,0,0,0,0,0,0.211203,206
1.64011,0,0,0,0,0,0,0.211203,206
1.65112,0,0,0,0,0,0,0.207829,206
1.66245,0,0,0,0,0,0,0.206581,206
1.67374,0,0,0,0,0,0,0.20829,206
1.68503,0,0,0,0,0,0,0.21457,206
1.69647,0,0,0,0,0,0,0.21663,205.6
1.70758,0,0,0,0,0,0,0.219526,205.6
1.7186,0,0,0,0,0,0,0.219526,205.875
1.7298,0,0,0,0,0,0,0.221239,205.6
1.74121,0,0,0,0,0,0,0.223812,205.6
1.7533,0,0,0,0,0,0,0.226206,205.8
1.76398,0,0,0,0,0,0,0.226206,205.8
1.77539,0,0,0,0,0,0,0.226206,205.8
1.78662,0,0,0,0,0,0,0.226206,205.8
1.79788,0,0,0,0,0,0,0.222761,205.8
1.80978,0,0,0,0,0,0,0.222761,205.8
1.82123,0,0,0,0,0,0,0.222761,205.8
1.83191,0,0,0,0,0,0,0.222761,205.8
1.84259,0,0,0,0,0,0,0.222761,205.8
1.85324,0,0,0,0,0,0,0.222761,205.8
1.86395,0,0,0,0,0,0,0.222761,205.8
1.87467,0,0,0,0,0,0,0.222761,205.8
1.88538,0,0,0,0,0,0,0.222761,205.8
1.89603,0,0,0,0,0,0,0.222761,205.8
1.90674,0,0,0,0,0,0,0.222761,205.8
1.91739,0,0,0,0,0,0,0.222761,205.8
1.92813,0,0,0,0,0,0,0.217668,205.8
1.939,0,0,0,0,0,0,0.217668,205.8
1.94992,0,0,0,0,0,0,0.217668,205.8
1.96121,0,0,0,0,0,0,0.213841,205.8
1.97208,0,0,0,0,0,0,0.213152,205.8
1.98276,0,0,0,0,0,0,0.215312,205.8
1.9938,0,0,0,0,0,0,0.21732,205.6
2.00473,0,0,0,0,0,0,0.210717,205.6
2.01544,0,0,0,0,0,0,0.210717,205.762
2.02631,0,0,0,0,0,0,0.210717,205.762
2.03714,0,0,0,0,0,0,0.212137,205.6
2.04813,0,0,0,0,0,0,0.212137,205.746
2.05908,0,0,0,0,0,0,0.212137,205.746
2.06992,0,0,0,0,0,0,0.212137,205.746
2.08093,0,0,0,0,0,0,0.212137,205.746
2.09161,0,0,0,0,0,0,0.212137,205.746
2.10236,0,0,0,0,0,0,0.212137,205.746
2.11316,0,0,0,0,0,0,0.212137,205.746
2.1239,0,0,0,0,0,0,0.209678,205.6
2.13489,0,0,0,0,0,0,0.20928,205.6
2.14581,0,0,0,0,0,0,0.207931,205.6
2.15671,0,0,0,0,0,0,0.209545,205.6
2.16757,0,0,0,0,0,0,0.208177,205.6
2.17908,0,0,0,0,0,0,0.207885,205.6
2.19,0,0,0,0,0,0,0.208523,205.6
2.20087,0,0,0,0,0,0,0.208523,205.67
2.21176,0,0,0,0,0,0,0.208206,205.6
2.22272,0,0,0,0,0,0,0.208206,205.663
2.23343,0,0,0,0,0,0,0.208206,205.663
2.24423,0,0,0,0,0,0,0.208206,205.663
2.25549,0,0,0,0,0,0,0.208206,205.663
2.26627,0,0,0,0,0,0,0.208206,205.663
2.27777,0,0,0,0,0,0,0.208206,205.663
2.28925,0,0,0,0,0,0,0.208206,205.663
2.30008,0,0,0,0,0,0,0.209802,205.9
2.31091,0,0,0,0,0,0,0.208416,205.9
2.32236,0,0,0,0,0,0,0.209017,205.9
2.33347,0,0,0,0,0,0,0.207685,205.9
2.34421,0,0,0,0,0,0,0.209317,205.9
2.35498,0,0,0,0,0,0,0.210835,205.9
2.3656,0,0,0,0,0,0,0.212247,205.9
2.37631,0,0,0,0,0,0,0.213559,205.7
2.38718,0,0,0,0,0,0,0.20911,205.7
2.39786,0,0,0,0,0,0,0.202103,205.7
2.40912,0,0,0,0,0,0,0.202103,205.763
2.42001,0,0,0,0,0,0,0.202103,205.763
2.431,0,0,0,0,0,0,0.201255,205.8
2.44199,0,0,0,0,0,0,0.201255,205.767
2.45294,0,0,0,0,0,0,0.201255,205.767
2.46436,0,0,0,0,0,0,0.201255,205.767
2.47525,0,0,0,0,0,0,0.201255,205.767
2.48697,0,0,0,0,0,0,0.201255,205.767
2.4978,0,0,0,0,0,0,0.201255,205.767
2.50876,0,0,0,0,0,0,0.201255,205.767
2.51996,0,0,0,0,0,0,0.201255,205.767
2.53098,0,0,0,0,0,0,0.201255,205.767
2.54196,0,0,0,0,0,0,0.206138,205.8
2.55283,0,0,0,0,0,0,0.202208,205.8
2.56396,0,0,0,0,0,0,0.204223,205.8
