AHNS AP STATE MESSAGES LOG FOR logs/AP_State_Friday-01-10-2010-163330.log
TIME, REF_PHI, REF_THETA, REF_PSI, REF_X, REF_Y, REF_Z, PHI_ACTIVE, THETA_ACTIVE, PSI_ACTIVE, X_ACTIVE, Y_ACTIVE, Z_ACTIVE
0,0,0,0,0,0,0,0,0,0,0,0,0
0.011138,0,0,0,0,0,0,0,0,0,0,0,0
0.0221548,0,0,0,0,0,0,0,0,0,0,0,0
0.0328059,0,0,0,0,0,0,0,0,0,0,0,0
0.0436089,0,0,0,0,0,0,0,0,0,0,0,0
0.054107,0,0,0,0,0,0,0,0,0,0,0,0
0.0649099,0,0,0,0,0,0,0,0,0,0,0,0
0.0758049,0,0,0,0,0,0,0,0,0,0,0,0
0.087127,0,0,0,0,0,0,0,0,0,0,0,0
0.0983579,0,0,0,0,0,0,0,0,0,0,0,0
0.109039,0,0,0,0,0,0,0,0,0,0,0,0
0.120025,0,0,0,0,0,0,0,0,0,0,0,0
0.484527,0,0,0,0,0,0,0,0,0,0,0,0
0.495422,0,0,0,0,0,0,0,0,0,0,0,0
0.506408,0,0,0,0,0,0,0,0,0,0,0,0
0.517578,0,0,0,0,0,0,0,0,0,0,0,0
0.52835,0,0,0,0,0,0,0,0,0,0,0,0
0.539703,0,0,0,0,0,0,0,0,0,0,0,0
0.550476,0,0,0,0,0,0,0,0,0,0,0,0
0.56137,0,0,0,0,0,0,0,0,0,0,0,0
0.572265,0,0,0,0,0,0,0,0,0,0,0,0
0.583313,0,0,0,0,0,0,0,0,0,0,0,0
0.593994,0,0,0,0,0,0,0,0,0,0,0,0
0.605133,0,0,0,0,0,0,0,0,0,0,0,0
0.615844,0,0,0,0,0,0,0,0,0,0,0,0
0.626709,0,0,0,0,0,0,0,0,0,0,0,0
0.637878,0,0,0,0,0,0,0,0,0,0,0,0
0.648559,0,0,0,0,0,0,0,0,0,0,0,0
0.659881,0,0,0,0,0,0,0,0,0,0,0,0
0.671264,0,0,0,0,0,0,0,0,0,0,0,0
0.682067,0,0,0,0,0,0,0,0,0,0,0,0
0.693176,0,0,0,0,0,0,0,0,0,0,0,0
0.704132,0,0,0,0,0,0,0,0,0,0,0,0
0.714904,0,0,0,0,0,0,0,0,0,0,0,0
0.72583,0,0,0,0,0,0,0,0,0,0,0,0
0.736785,0,0,0,0,0,0,0,0,0,0,0,0
0.747589,0,0,0,0,0,0,0,0,0,0,0,0
