AHNS AP STATE MESSAGES LOG FOR logs/AP_State_Wednesday-06-10-2010-071053.log
TIME, REF_PHI, REF_THETA, REF_PSI, REF_X, REF_Y, REF_Z, PHI_ACTIVE, THETA_ACTIVE, PSI_ACTIVE, X_ACTIVE, Y_ACTIVE, Z_ACTIVE
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0108941,0,0,0,0,0,0,0,0,0,0,0,0
0.021759,0,0,0,0,0,0,0,0,0,0,0,0
0.032989,0,0,0,0,0,0,0,0,0,0,0,0
0.043853,0,0,0,0,0,0,0,0,0,0,0,0
0.0545352,0,0,0,0,0,0,0,0,0,0,0,0
0.0653682,0,0,0,0,0,0,0,0,0,0,0,0
0.0762942,0,0,0,0,0,0,0,0,0,0,0,0
0.087188,0,0,0,0,0,0,0,0,0,0,0,0
0.0980532,0,0,0,0,0,0,0,0,0,0,0,0
0.108886,0,0,0,0,0,0,0,0,0,0,0,0
0.11972,0,0,0,0,0,0,0,0,0,0,0,0
0.130951,0,0,0,0,0,0,0,0,0,0,0,0
0.542389,0,0,0,0,0,0,0,0,0,0,0,0
0.629181,0,0,0,0,0,0,0,0,0,0,0,0
0.640014,0,0,0,0,0,0,0,0,0,0,0,0
0.650818,0,0,0,0,0,0,0,0,0,0,0,0
0.66156,0,0,0,0,0,0,0,0,0,0,0,0
0.672394,0,0,0,0,0,0,0,0,0,0,0,0
0.683166,0,0,0,0,0,0,0,0,0,0,0,0
0.69403,0,0,0,0,0,0,0,0,0,0,0,0
0.704834,0,0,0,0,0,0,0,0,0,0,0,0
0.715606,0,0,0,0,0,0,0,0,0,0,0,0
1.12762,0,0,0,0,0,0,0,0,0,0,0,0
1.13846,0,0,0,0,0,0,0,0,0,0,0,0
1.14905,0,0,0,0,0,0,0,0,0,0,0,0
1.15985,0,0,0,0,0,0,0,0,0,0,0,0
1.17069,0,0,0,0,0,0,0,0,0,0,0,0
1.18146,0,0,0,0,0,0,0,0,0,0,0,0
1.19251,0,0,0,0,0,0,0,0,0,0,0,0
1.20312,0,0,0,0,0,0,0,0,0,0,0,0
1.21393,0,0,0,0,0,0,0,0,0,0,0,0
1.22473,0,0,0,0,0,0,0,0,0,0,0,0
1.23532,0,0,0,0,0,0,0,0,0,0,0,0
1.2464,0,0,0,0,0,0,0,0,0,0,0,0
1.66913,0,0,0,0,0,0,0,0,0,0,0,0
1.6799,0,0,0,0,0,0,0,0,0,0,0,0
1.6907,0,0,0,0,0,0,0,0,0,0,0,0
1.70178,0,0,0,0,0,0,0,0,0,0,0,0
1.71262,0,0,0,0,0,0,0,0,0,0,0,0
1.72339,0,0,0,0,0,0,0,0,0,0,0,0
1.73428,0,0,0,0,0,0,0,0,0,0,0,0
1.74487,0,0,0,0,0,0,0,0,0,0,0,0
1.75568,0,0,0,0,0,0,0,0,0,0,0,0
1.76648,0,0,0,0,0,0,0,0,0,0,0,0
1.77747,0,0,0,0,0,0,0,0,0,0,0,0
1.78827,0,0,0,0,0,0,0,0,0,0,0,0
1.7988,0,0,0,0,0,0,0,0,0,0,0,0
1.80954,0,0,0,0,0,0,0,0,0,0,0,0
1.82098,0,0,0,0,0,0,0,0,0,0,0,0
1.83185,0,0,0,0,0,0,0,0,0,0,0,0
1.84268,0,0,0,0,0,0,0,0,0,0,0,0
1.85349,0,0,0,0,0,0,0,0,0,0,0,0
1.8641,0,0,0,0,0,0,0,0,0,0,0,0
1.87479,0,0,0,0,0,0,0,0,0,0,0,0
1.88565,0,0,0,0,0,0,0,0,0,0,0,0
1.89667,0,0,0,0,0,0,0,0,0,0,0,0
1.90714,0,0,0,0,0,0,0,0,0,0,0,0
1.91757,0,0,0,0,0,0,0,0,0,0,0,0
1.92804,0,0,0,0,0,0,0,0,0,0,0,0
1.93845,0,0,0,0,0,0,0,0,0,0,0,0
1.94888,0,0,0,0,0,0,0,0,0,0,0,0
1.95935,0,0,0,0,0,0,0,0,0,0,0,0
1.96976,0,0,0,0,0,0,0,0,0,0,0,0
1.98019,0,0,0,0,0,0,0,0,0,0,0,0
1.9906,0,0,0,0,0,0,0,0,0,0,0,0
2.00104,0,0,0,0,0,0,0,0,0,0,0,0
2.01151,0,0,0,0,0,0,0,0,0,0,0,0
2.02194,0,0,0,0,0,0,0,0,0,0,0,0
2.03235,0,0,0,0,0,0,0,0,0,0,0,0
2.04279,0,0,0,0,0,0,0,0,0,0,0,0
2.05325,0,0,0,0,0,0,0,0,0,0,0,0
2.06369,0,0,0,0,0,0,0,0,0,0,0,0
2.07407,0,0,0,0,0,0,0,0,0,0,0,0
2.08444,0,0,0,0,0,0,0,0,0,0,0,0
2.09488,0,0,0,0,0,0,0,0,0,0,0,0
2.10614,0,0,0,0,0,0,0,0,0,0,0,0
2.11655,0,0,0,0,0,0,0,0,0,0,0,0
2.12698,0,0,0,0,0,0,0,0,0,0,0,0
2.13724,0,0,0,0,0,0,0,0,0,0,0,0
2.14767,0,0,0,0,0,0,0,0,0,0,0,0
2.15811,0,0,0,0,0,0,0,0,0,0,0,0
2.16898,0,0,0,0,0,0,0,0,0,0,0,0
2.18015,0,0,0,0,0,0,0,0,0,0,0,0
2.19095,0,0,0,0,0,0,0,0,0,0,0,0
2.20178,0,0,0,0,0,0,0,0,0,0,0,0
2.21268,0,0,0,0,0,0,0,0,0,0,0,0
2.22345,0,0,0,0,0,0,0,0,0,0,0,0
2.23392,0,0,0,0,0,0,0,0,0,0,0,0
2.24435,0,0,0,0,0,0,0,0,0,0,0,0
2.25482,0,0,0,0,0,0,0,0,0,0,0,0
2.26529,0,0,0,0,0,0,0,0,0,0,0,0
2.2757,0,0,0,0,0,0,0,0,0,0,0,0
2.28656,0,0,0,0,0,0,0,0,0,0,0,0
2.29749,0,0,0,0,0,0,0,0,0,0,0,0
