AHNS FC STATE MESSAGES LOG FOR logs/FC_States_Friday-01-10-2010-163330.log
TIME, COMMANDED_ENGINE1, COMMANDED_ENGINE2, COMMANDED_ENGINE3, COMMANDED_ENGINE4, RC_LINK, FC_UPTIME, FC_CPU
0,16393,338,0,3840,1,0,0
0.0111389,16393,338,0,3840,1,0,0
0.022156,16393,338,0,3840,1,0,0
0.0328059,16393,338,0,3840,1,0,0
0.0436399,16393,338,0,3840,1,0,0
0.0541079,16393,338,0,3840,1,0,0
0.0649109,16393,338,0,3840,1,0,0
0.0757749,16393,338,0,3840,1,0,0
0.0871279,16393,338,0,3840,1,0,0
0.0983579,16393,338,0,3840,1,0,0
0.109039,16393,338,0,3840,1,0,0
0.120026,16393,338,0,3840,1,0,0
0.484558,16393,338,0,3840,1,0,0
0.495453,16393,338,0,3840,1,0,0
0.506409,16393,338,0,3840,1,0,0
0.517578,16393,338,0,3840,1,0,0
0.528351,16393,338,0,3840,1,0,0
0.539703,16393,338,0,3840,1,0,0
0.550507,16393,338,0,3840,1,0,0
0.561371,16393,338,0,3840,1,0,0
0.572266,16393,338,0,3840,1,0,0
0.583344,16393,338,0,3840,1,0,0
0.593994,16393,338,0,3840,1,0,0
0.605164,16393,338,0,3840,1,0,0
0.615845,16393,338,0,3840,1,0,0
0.62674,16393,338,0,3840,1,0,0
0.637878,16393,338,0,3840,1,0,0
0.64856,16393,338,0,3840,1,0,0
0.659912,16393,338,0,3840,1,0,0
0.671265,16393,338,0,3840,1,0,0
0.682098,16393,338,0,3840,1,0,0
0.693176,16393,338,0,3840,1,0,0
0.704132,16393,338,0,3840,1,0,0
0.714905,16393,338,0,3840,1,0,0
0.72583,16393,338,0,3840,1,0,0
0.736786,16393,338,0,3840,1,0,0
0.74762,16393,338,0,3840,1,0,0
0.758362,16393,338,0,3840,1,0,0
0.769592,16393,338,0,3840,1,0,0
0.780426,16393,338,0,3840,1,0,0
0.790955,16393,338,0,3840,1,0,0
0.801849,16393,338,0,3840,1,0,0
0.812744,16393,338,0,3840,1,0,0
0.823639,16393,338,0,3840,1,0,0
0.834595,16393,338,0,3840,1,0,0
0.84549,16393,338,0,3840,1,0,0
0.856293,16393,338,0,3840,1,0,0
0.867188,16393,338,0,3840,1,0,0
0.877991,16393,338,0,3840,1,0,0
0.888611,16393,338,0,3840,1,0,0
0.899994,16393,338,0,3840,1,0,0
0.910614,16393,338,0,3840,1,0,0
0.921417,16393,338,0,3840,1,0,0
0.932495,16393,338,0,3840,1,0,0
0.943604,16393,338,0,3840,1,0,0
0.954681,16393,338,0,3840,1,0,0
0.965515,16393,338,0,3840,1,0,0
0.976379,16393,338,0,3840,1,0,0
0.987244,16393,338,0,3840,1,0,0
0.998322,16393,338,0,3840,1,0,0
1.00943,16393,338,0,3840,1,0,0
1.02029,16393,338,0,3840,1,0,0
1.03128,16393,338,0,3840,1,0,0
1.04217,16393,338,0,3840,1,0,0
1.0531,16393,338,0,3840,1,0,0
1.06412,16393,338,0,3840,1,0,0
1.07535,16393,338,0,3840,1,0,0
1.08624,16393,338,0,3840,1,0,0
1.09723,16393,338,0,3840,1,0,0
1.10809,16393,338,0,3840,1,0,0
1.11917,16393,338,0,3840,1,0,0
1.13,16393,338,0,3840,1,0,0
1.14096,16393,338,0,3840,1,0,0
1.15179,16393,338,0,3840,1,0,0
1.16244,16393,338,0,3840,1,0,0
1.17325,16393,338,0,3840,1,0,0
1.18408,16393,338,0,3840,1,0,0
1.19458,16393,338,0,3840,1,0,0
1.20523,16393,338,0,3840,1,0,0
1.216,16393,338,0,3840,1,0,0
1.22665,16393,338,0,3840,1,0,0
1.23761,16393,338,0,3840,1,0,0
1.24878,16393,338,0,3840,1,0,0
1.25961,16393,338,0,3840,1,0,0
1.27042,16393,338,0,3840,1,0,0
1.2818,16393,338,0,3840,1,0,0
1.2926,16393,338,0,3840,1,0,0
1.30347,16393,338,0,3840,1,0,0
1.31445,16393,338,0,3840,1,0,0
1.32529,16393,338,0,3840,1,0,0
1.336,16393,338,0,3840,1,0,0
1.34683,16393,338,0,3840,1,0,0
1.35767,16393,338,0,3840,1,0,0
1.3685,16393,338,0,3840,1,0,0
1.37897,16393,338,0,3840,1,0,0
1.38983,16393,338,0,3840,1,0,0
1.40091,16393,338,0,3840,1,0,0
1.41177,16393,338,0,3840,1,0,0
1.42267,16393,338,0,3840,1,0,0
1.43356,16393,338,0,3840,1,0,0
1.44449,16393,338,0,3840,1,0,0
1.45557,16393,338,0,3840,1,0,0
1.4667,16393,338,0,3840,1,0,0
1.4776,16393,338,0,3840,1,0,0
1.48834,16393,338,0,3840,1,0,0
1.49936,16393,338,0,3840,1,0,0
1.5101,16393,338,0,3840,1,0,0
1.52115,16393,338,0,3840,1,0,0
1.53229,16393,338,0,3840,1,0,0
1.54306,16393,338,0,3840,1,0,0
1.55395,16393,338,0,3840,1,0,0
1.56528,16393,338,0,3840,1,0,0
1.57608,16393,338,0,3840,1,0,0
1.58719,16393,338,0,3840,1,0,0
1.59811,16393,338,0,3840,1,0,0
1.60876,16393,338,0,3840,1,0,0
1.61957,16393,338,0,3840,1,0,0
1.63046,16393,338,0,3840,1,0,0
1.64133,16393,338,0,3840,1,0,0
1.65247,16393,338,0,3840,1,0,0
1.66318,16393,338,0,3840,1,0,0
1.67407,16393,338,0,3840,1,0,0
1.68518,16393,338,0,3840,1,0,0
1.69629,16393,338,0,3840,1,0,0
1.70709,16393,338,0,3840,1,0,0
1.71777,16393,338,0,3840,1,0,0
1.72885,16393,338,0,3840,1,0,0
1.73962,16393,338,0,3840,1,0,0
1.75079,16393,338,0,3840,1,0,0
1.7616,16393,338,0,3840,1,0,0
