AHNS FC STATE MESSAGES LOG FOR logs/FC_States_Wednesday-06-10-2010-071053.log
TIME, COMMANDED_ENGINE1, COMMANDED_ENGINE2, COMMANDED_ENGINE3, COMMANDED_ENGINE4, RC_LINK, FC_UPTIME, FC_CPU
0,1072,1536,1520,1488,1,0,0
0.010864,1072,1536,1520,1488,1,0,0
0.022095,1072,1536,1520,1488,1,0,0
0.032959,1072,1536,1520,1488,1,0,0
0.0436401,1072,1536,1520,1488,1,0,0
0.0545042,1072,1536,1520,1488,1,0,0
0.0653992,1072,1536,1520,1488,1,0,0
0.0762942,1072,1520,1520,1488,1,0,0
0.0871892,1072,1520,1520,1488,1,0,0
0.0979922,1072,1520,1520,1488,1,0,0
0.108826,1072,1536,1520,1488,1,0,0
0.120056,1072,1536,1520,1488,1,0,0
0.531525,1088,1536,1520,1488,1,0,0
0.618286,1072,1520,1520,1488,1,0,0
0.62912,1072,1520,1520,1488,1,0,0
0.639954,1072,1520,1520,1488,1,0,0
0.650665,1072,1536,1520,1488,1,0,0
0.661499,1072,1536,1520,1488,1,0,0
0.672302,1072,1536,1520,1488,1,0,0
0.683136,1072,1536,1520,1488,1,0,0
0.69397,1072,1536,1520,1488,1,0,0
0.704742,1072,1536,1520,1488,1,0,0
0.715607,1072,1536,1520,1488,1,0,0
1.11673,1088,1536,1520,1488,1,0,0
1.12756,1072,1536,1520,1488,1,0,0
1.13818,1072,1536,1520,1488,1,0,0
1.14896,1072,1536,1520,1488,1,0,0
1.15976,1072,1536,1520,1488,1,0,0
1.17059,1088,1536,1520,1488,1,0,0
1.18164,1088,1536,1520,1488,1,0,0
1.19226,1072,1536,1520,1488,1,0,0
1.20306,1072,1536,1520,1488,1,0,0
1.21384,1072,1536,1520,1488,1,0,0
1.22443,1072,1536,1520,1488,1,0,0
1.23554,1072,1536,1520,1488,1,0,0
1.65826,1072,1536,1520,1488,1,0,0
1.66904,1072,1536,1520,1488,1,0,0
1.67984,1072,1536,1520,1488,1,0,0
1.69089,1072,1536,1520,1488,1,0,0
1.70175,1088,1536,1520,1488,1,0,0
1.71252,1072,1536,1520,1488,1,0,0
1.72339,1072,1536,1520,1488,1,0,0
1.73401,1072,1536,1520,1488,1,0,0
1.74481,1072,1536,1520,1488,1,0,0
1.75561,1072,1536,1520,1488,1,0,0
1.76657,1072,1536,1520,1488,1,0,0
1.77741,1072,1536,1520,1488,1,0,0
1.7879,1088,1536,1520,1488,1,0,0
1.79865,1088,1520,1520,1488,1,0,0
1.81009,1072,1520,1520,1488,1,0,0
1.82095,1072,1536,1520,1488,1,0,0
1.83179,1088,1536,1520,1488,1,0,0
1.84262,1088,1536,1520,1488,1,0,0
1.85324,1088,1536,1520,1488,1,0,0
1.86392,1088,1536,1520,1488,1,0,0
1.87479,1088,1536,1520,1488,1,0,0
1.88577,1088,1536,1520,1488,1,0,0
1.89624,1072,1536,1520,1488,1,0,0
1.90671,1072,1536,1520,1488,1,0,0
1.91715,1088,1536,1520,1488,1,0,0
1.92758,1088,1536,1520,1488,1,0,0
1.93796,1088,1536,1520,1488,1,0,0
1.94846,1088,1536,1520,1488,1,0,0
1.95886,1072,1520,1520,1488,1,0,0
1.9693,1072,1536,1520,1488,1,0,0
1.97971,1088,1536,1520,1488,1,0,0
1.99014,1088,1536,1520,1488,1,0,0
2.00061,1072,1536,1520,1488,1,0,0
2.01105,1072,1536,1520,1488,1,0,0
2.02148,1072,1536,1520,1488,1,0,0
2.03192,1088,1536,1520,1488,1,0,0
2.04236,1088,1536,1520,1488,1,0,0
2.05283,1072,1536,1520,1488,1,0,0
2.06317,1072,1536,1520,1488,1,0,0
2.07358,1072,1536,1520,1488,1,0,0
2.08402,1072,1536,1520,1488,1,0,0
2.09525,1072,1536,1520,1488,1,0,0
2.10565,1072,1536,1520,1488,1,0,0
2.11609,1088,1536,1520,1488,1,0,0
2.12637,1088,1536,1520,1488,1,0,0
2.13681,1088,1536,1520,1488,1,0,0
2.14725,1088,1536,1520,1488,1,0,0
2.15808,1072,1520,1520,1488,1,0,0
2.16928,1072,1536,1520,1488,1,0,0
2.18008,1072,1536,1520,1488,1,0,0
