AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Friday-01-10-2010-163330.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
0,0,0,0,0,4.98288,0,0,0,0,0,0,0,0,0,0,12.752
0.0111389,0,0,0,0,4.98289,0,0,0,0,0,0,0,0,0,0,12.752
0.022156,0,0,0,0,4.98289,0,0,0,0,0,0,0,0,0,0,12.73
0.0328059,0,0,0,0,4.9829,0,0,0,0,0,0,0,0,0,0,12.724
0.0436399,0,0,0,0,4.98291,0,0,0,0,0,0,0,0,0,0,12.724
0.0541079,0,0,0,0,4.98292,0,0,0,0,0,0,0,0,0,0,12.724
0.0649109,0,0,0,0,4.98293,0,0,0,0,0,0,0,0,0,0,12.724
0.0757749,0,0,0,0,4.98294,0,0,0,0,0,0,0,0,0,0,12.724
0.0871279,0,0,0,0,4.98295,0,0,0,0,0,0,0,0,0,0,12.716
0.0983579,0,0,0,0,4.98297,0,0,0,0,0,0,0,0,0,0,12.716
0.10907,0,0,0,0,4.98298,0,0,0,0,0,0,0,0,0,0,12.719
0.119995,0,0,0,0,4.98299,0,0,0,0,0,0,0,0,0,0,12.719
0.484558,0,0,0,0,4.98372,0,0,0,0,0,0,0,0,0,0,12.713
0.495453,0,0,0,0,4.98374,0,0,0,0,0,0,0,0,0,0,12.708
0.506439,0,0,0,0,4.98376,0,0,0,0,0,0,0,0,0,0,12.705
0.517578,0,0,0,0,4.98377,0,0,0,0,0,0,0,0,0,0,12.711
0.528381,0,0,0,0,4.98378,0,0,0,0,0,0,0,0,0,0,12.711
0.539703,0,0,0,0,4.98379,0,0,0,0,0,0,0,0,0,0,12.711
0.550507,0,0,0,0,4.98381,0,0,0,0,0,0,0,0,0,0,12.711
0.561401,0,0,0,0,4.98382,0,0,0,0,0,0,0,0,0,0,12.711
0.572235,0,0,0,0,4.98383,0,0,0,0,0,0,0,0,0,0,12.711
0.583313,0,0,0,0,4.98384,0,0,0,0,0,0,0,0,0,0,12.711
0.593994,0,0,0,0,4.98385,0,0,0,0,0,0,0,0,0,0,12.711
0.605164,0,0,0,0,4.98386,0,0,0,0,0,0,0,0,0,0,12.711
0.615875,0,0,0,0,4.98387,0,0,0,0,0,0,0,0,0,0,12.711
0.626739,0,0,0,0,4.98388,0,0,0,0,0,0,0,0,0,0,12.711
0.637909,0,0,0,0,4.98388,0,0,0,0,0,0,0,0,0,0,12.711
0.648529,0,0,0,0,4.98389,0,0,0,0,0,0,0,0,0,0,12.711
0.659912,0,0,0,0,4.9839,0,0,0,0,0,0,0,0,0,0,12.711
0.671265,0,0,0,0,4.98391,0,0,0,0,0,0,0,0,0,0,12.711
0.682098,0,0,0,0,4.98392,0,0,0,0,0,0,0,0,0,0,12.711
0.693176,0,0,0,0,4.98393,0,0,0,0,0,0,0,0,0,0,12.711
0.704132,0,0,0,0,4.98394,0,0,0,0,0,0,0,0,0,0,12.711
0.714905,0,0,0,0,4.98394,0,0,0,0,0,0,0,0,0,0,12.708
0.72583,0,0,0,0,4.98394,0,0,0,0,0,0,0,0,0,0,12.708
0.736755,0,0,0,0,4.98395,0,0,0,0,0,0,0,0,0,0,12.708
0.74762,0,0,0,0,4.98395,0,0,0,0,0,0,0,0,0,0,12.708
0.758362,0,0,0,0,4.98395,0,0,0,0,0,0,0,0,0,0,12.713
0.769592,0,0,0,0,4.98395,0,0,0,0,0,0,0,0,0,0,12.716
0.780426,0,0,0,0,4.98394,0,0,0,0,0,0,0,0,0,0,12.716
0.790924,0,0,0,0,4.98394,0,0,0,0,0,0,0,0,0,0,12.716
0.80188,0,0,0,0,4.98394,0,0,0,0,0,0,0,0,0,0,12.716
0.812744,0,0,0,0,4.98393,0,0,0,0,0,0,0,0,0,0,12.71
0.823639,0,0,0,0,4.98392,0,0,0,0,0,0,0,0,0,0,12.705
