AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Wednesday-06-10-2010-071053.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0436099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0545039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0653989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0762939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0979919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.542328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.618256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.639954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.650665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.661499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.672302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.683136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.704742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.715607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
