AHNS SENSOR MESSAGES LOG FOR logs/SENSOR_DATA_Friday-01-10-2010-163330.log
TIME, IMU_ROLL_DOT, IMU_PITCH_DOT, IMU_YAW_DOT, IMU_AX, IMU_AY, IMU_AZ, SENSOR_Z, COMPASS_PSI
0,0,0,0,0,0,0,0.433,285.51
0.011138,0,0,0,0,0,0,0.433,285.51
0.022155,0,0,0,0,0,0,0.498,285.6
0.0328059,0,0,0,0,0,0,0.501,285.6
0.0436399,0,0,0,0,0,0,0.501,285.527
0.054107,0,0,0,0,0,0,0.501,285.527
0.0649099,0,0,0,0,0,0,0.501,285.527
0.0757749,0,0,0,0,0,0,0.501,285.527
0.087127,0,0,0,0,0,0,0.528,285.6
0.0983579,0,0,0,0,0,0,0.528,285.534
0.109069,0,0,0,0,0,0,0.522,285.6
0.120025,0,0,0,0,0,0,0.522,285.541
0.484558,0,0,0,0,0,0,0.482,285.5
0.495452,0,0,0,0,0,0,0.492,285.5
0.506408,0,0,0,0,0,0,0.522,285.5
0.517578,0,0,0,0,0,0,0.533,285.5
0.52835,0,0,0,0,0,0,0.533,285.561
0.539703,0,0,0,0,0,0,0.533,285.561
0.550506,0,0,0,0,0,0,0.533,285.561
0.56137,0,0,0,0,0,0,0.533,285.561
0.572235,0,0,0,0,0,0,0.533,285.561
0.583343,0,0,0,0,0,0,0.533,285.561
0.593994,0,0,0,0,0,0,0.533,285.561
0.605163,0,0,0,0,0,0,0.533,285.561
0.615844,0,0,0,0,0,0,0.533,285.561
0.626739,0,0,0,0,0,0,0.533,285.561
0.637878,0,0,0,0,0,0,0.533,285.561
0.648559,0,0,0,0,0,0,0.533,285.561
0.659912,0,0,0,0,0,0,0.533,285.561
0.671264,0,0,0,0,0,0,0.533,285.561
0.682098,0,0,0,0,0,0,0.533,285.561
0.693176,0,0,0,0,0,0,0.533,285.561
0.704132,0,0,0,0,0,0,0.484,285.5
0.714904,0,0,0,0,0,0,0.492,285.5
0.72583,0,0,0,0,0,0,0.498,285.5
0.736785,0,0,0,0,0,0,0.498,285.544
0.747619,0,0,0,0,0,0,0.498,285.544
0.758361,0,0,0,0,0,0,0.53,285.5
0.769592,0,0,0,0,0,0,0.56,285.5
0.780426,0,0,0,0,0,0,0.56,285.536
0.790954,0,0,0,0,0,0,0.66,285.5
0.801849,0,0,0,0,0,0,0.676,285.5
0.812744,0,0,0,0,0,0,0.671,285.5
0.823638,0,0,0,0,0,0,0.638,285.5
0.834594,0,0,0,0,0,0,0.614,285.5
0.845489,0,0,0,0,0,0,0.573,285.5
0.856292,0,0,0,0,0,0,0.541,285.5
0.867187,0,0,0,0,0,0,0.511,285.5
0.87799,0,0,0,0,0,0,0.511,285.5
0.88861,0,0,0,0,0,0,0.511,285.514
0.899993,0,0,0,0,0,0,0.511,285.514
0.910614,0,0,0,0,0,0,0.511,285.514
0.921417,0,0,0,0,0,0,0.511,285.514
0.932464,0,0,0,0,0,0,0.511,285.514
0.943603,0,0,0,0,0,0,0.511,285.514
0.954681,0,0,0,0,0,0,0.511,285.514
0.965515,0,0,0,0,0,0,0.511,285.514
0.976379,0,0,0,0,0,0,0.511,285.514
0.987243,0,0,0,0,0,0,0.511,285.514
0.998321,0,0,0,0,0,0,0.511,285.514
1.00943,0,0,0,0,0,0,0.511,285.514
1.02029,0,0,0,0,0,0,0.533,285.5
1.03128,0,0,0,0,0,0,0.533,285.513
1.04218,0,0,0,0,0,0,0.533,285.513
1.0531,0,0,0,0,0,0,0.533,285.513
1.06412,0,0,0,0,0,0,0.533,285.513
1.07535,0,0,0,0,0,0,0.533,285.513
1.08624,0,0,0,0,0,0,0.533,285.513
1.09723,0,0,0,0,0,0,0.533,285.513
1.10809,0,0,0,0,0,0,0.533,285.513
1.11917,0,0,0,0,0,0,0.533,285.513
1.13,0,0,0,0,0,0,0.533,285.513
1.14096,0,0,0,0,0,0,0.533,285.513
1.15179,0,0,0,0,0,0,0.533,285.513
1.16245,0,0,0,0,0,0,0.533,285.513
1.17325,0,0,0,0,0,0,0.533,285.513
1.18402,0,0,0,0,0,0,0.533,285.513
1.19458,0,0,0,0,0,0,0.533,285.513
1.20523,0,0,0,0,0,0,0.533,285.513
1.216,0,0,0,0,0,0,0.533,285.513
1.22665,0,0,0,0,0,0,0.533,285.513
