AHNS SENSOR MESSAGES LOG FOR logs/SENSOR_DATA_Wednesday-06-10-2010-071053.log
TIME, IMU_ROLL_DOT, IMU_PITCH_DOT, IMU_YAW_DOT, IMU_AX, IMU_AY, IMU_AZ, SENSOR_Z, COMPASS_PSI
0,0,0,0,0,0,0,0,0
0.010865,0,0,0,0,0,0,0,0
0.022095,0,0,0,0,0,0,0,0
0.032959,0,0,0,0,0,0,0,0
0.0436411,0,0,0,0,0,0,0,0
0.0545051,0,0,0,0,0,0,0,0
0.0654001,0,0,0,0,0,0,0,0
0.0762942,0,0,0,0,0,0,0,0
0.087189,0,0,0,0,0,0,0,0
0.0979922,0,0,0,0,0,0,0,0
0.108796,0,0,0,0,0,0,0,0
0.120057,0,0,0,0,0,0,0,0
0.542328,0,0,0,0,0,0,0,0
0.618287,0,0,0,0,0,0,0,0
0.62912,0,0,0,0,0,0,0,0
0.639954,0,0,0,0,0,0,0,0
0.650666,0,0,0,0,0,0,0,0
0.661499,0,0,0,0,0,0,0,0
0.672303,0,0,0,0,0,0,0,0
0.683136,0,0,0,0,0,0,0,0
0.69397,0,0,0,0,0,0,0,0
0.704743,0,0,0,0,0,0,0,0
0.715638,0,0,0,0,0,0,0,0
1.11673,0,0,0,0,0,0,0,0
1.12756,0,0,0,0,0,0,0,0
1.13818,0,0,0,0,0,0,0,0
1.14899,0,0,0,0,0,0,0,0
1.15976,0,0,0,0,0,0,0,0
1.17059,0,0,0,0,0,0,0,0
1.18164,0,0,0,0,0,0,0,0
1.19226,0,0,0,0,0,0,0,0
1.20306,0,0,0,0,0,0,0,0
1.21384,0,0,0,0,0,0,0,0
1.22443,0,0,0,0,0,0,0,0
1.23554,0,0,0,0,0,0,0,0
1.65823,0,0,0,0,0,0,0,0
1.66904,0,0,0,0,0,0,0,0
1.67984,0,0,0,0,0,0,0,0
1.69089,0,0,0,0,0,0,0,0
1.70175,0,0,0,0,0,0,0,0
1.71253,0,0,0,0,0,0,0,0
1.72339,0,0,0,0,0,0,0,0
1.73401,0,0,0,0,0,0,0,0
1.74481,0,0,0,0,0,0,0,0
1.75562,0,0,0,0,0,0,0,0
1.76657,0,0,0,0,0,0,0,0
1.77741,0,0,0,0,0,0,0,0
1.7879,0,0,0,0,0,0,0,0
1.79868,0,0,0,0,0,0,0,0
1.81009,0,0,0,0,0,0,0,0
1.82095,0,0,0,0,0,0,0,0
1.83176,0,0,0,0,0,0,0,0
1.84262,0,0,0,0,0,0,0,0
1.85324,0,0,0,0,0,0,0,0
1.86392,0,0,0,0,0,0,0,0
1.87479,0,0,0,0,0,0,0,0
1.88577,0,0,0,0,0,0,0,0
1.89624,0,0,0,0,0,0,0,0
1.90671,0,0,0,0,0,0,0,0
1.91715,0,0,0,0,0,0,0,0
1.92758,0,0,0,0,0,0,0,0
1.93799,0,0,0,0,0,0,0,0
1.94846,0,0,0,0,0,0,0,0
1.95889,0,0,0,0,0,0,0,0
1.9693,0,0,0,0,0,0,0,0
1.97971,0,0,0,0,0,0,0,0
1.99014,0,0,0,0,0,0,0,0
2.00061,0,0,0,0,0,0,0,0
2.01105,0,0,0,0,0,0,0,0
2.02149,0,0,0,0,0,0,0,0
2.03192,0,0,0,0,0,0,0,0
2.04236,0,0,0,0,0,0,0,0
2.05283,0,0,0,0,0,0,0,0
2.06317,0,0,0,0,0,0,0,0
2.07358,0,0,0,0,0,0,0,0
2.08402,0,0,0,0,0,0,0,0
2.09525,0,0,0,0,0,0,0,0
2.10565,0,0,0,0,0,0,0,0
2.11609,0,0,0,0,0,0,0,0
2.12637,0,0,0,0,0,0,0,0
2.13681,0,0,0,0,0,0,0,0
2.14725,0,0,0,0,0,0,0,0
2.15808,0,0,0,0,0,0,0,0
2.16928,0,0,0,0,0,0,0,0
2.18009,0,0,0,0,0,0,0,0
2.19092,0,0,0,0,0,0,0,0
2.20175,0,0,0,0,0,0,0,0
2.21259,0,0,0,0,0,0,0,0
2.22305,0,0,0,0,0,0,0,0
2.23349,0,0,0,0,0,0,0,0
2.24396,0,0,0,0,0,0,0,0
2.2544,0,0,0,0,0,0,0,0
2.26483,0,0,0,0,0,0,0,0
2.2757,0,0,0,0,0,0,0,0
2.28659,0,0,0,0,0,0,0,0
2.29749,0,0,0,0,0,0,0,0
2.30829,0,0,0,0,0,0,0,0
2.31891,0,0,0,0,0,0,0,0
2.32953,0,0,0,0,0,0,0,0
2.34094,0,0,0,0,0,0,0,0
2.35156,0,0,0,0,0,0,0,0
2.36215,0,0,0,0,0,0,0,0
2.37302,0,0,0,0,0,0,0,0
2.38388,0,0,0,0,0,0,0,0
2.39472,0,0,0,0,0,0,0,0
2.40564,0,0,0,0,0,0,0,0
2.41654,0,0,0,0,0,0,0,0
2.42737,0,0,0,0,0,0,0,0
2.43826,0,0,0,0,0,0,0,0
2.44907,0,0,0,0,0,0,0,0
2.45987,0,0,0,0,0,0,0,0
2.47034,0,0,0,0,0,0,0,0
2.48077,0,0,0,0,0,0,0,0
2.49118,0,0,0,0,0,0,0,0
2.50165,0,0,0,0,0,0,0,0
2.51273,0,0,0,0,0,0,0,0
2.52384,0,0,0,0,0,0,0,0
2.53467,0,0,0,0,0,0,0,0
2.54575,0,0,0,0,0,0,0,0
2.55661,0,0,0,0,0,0,0,0
2.5686,0,0,0,0,0,0,0,0
2.57926,0,0,0,0,0,0,0,0
2.59006,0,0,0,0,0,0,0,0
2.60086,0,0,0,0,0,0,0,0
2.6117,0,0,0,0,0,0,0,0
2.62253,0,0,0,0,0,0,0,0
2.63336,0,0,0,0,0,0,0,0
2.64417,0,0,0,0,0,0,0,0
2.65521,0,0,0,0,0,0,0,0
2.66602,0,0,0,0,0,0,0,0
2.67722,0,0,0,0,0,0,0,0
2.68802,0,0,0,0,0,0,0,0
2.69882,0,0,0,0,0,0,0,0
2.70941,0,0,0,0,0,0,0,0
2.72022,0,0,0,0,0,0,0,0
2.73138,0,0,0,0,0,0,0,0
2.74219,0,0,0,0,0,0,0,0
2.75305,0,0,0,0,0,0,0,0
2.76389,0,0,0,0,0,0,0,0
