AHNS VICON STATE MESSAGES LOG FOR logs/Vicon_Wednesday-06-10-2010-071053.log
TIME, VICON_X, VICON_Y, VICON_Z, VICON_VX, VICON_VY, VICON_VZ, VICON_PHI, VICON_PSI
0,-0.314716,0.943694,0.171569,-8.74212,26.2137,4.76581,-0.0141998,-0.0122401,-0.943222
0.191427,-0.314852,0.943586,0.171612,-0.000705782,-0.000561408,0.000221467,-0.0147906,-0.0129989,-0.94586
0.200023,-0.314763,0.943741,0.171622,0.0111481,0.019382,0.00125878,-0.0145814,-0.0123411,-0.943406
0.205321,-0.314827,0.943587,0.171724,-0.0127734,-0.0308579,0.0205163,-0.0147617,-0.0128615,-0.945632
0.211766,-0.314733,0.943733,0.171667,0.0133918,0.0208474,-0.00816697,-0.0142956,-0.0122719,-0.942883
0.232592,-0.314675,0.943723,0.171637,0.00642079,-0.00105105,-0.00338537,-0.0140084,-0.0122043,-0.942447
0.310607,-0.3147,0.94372,0.171573,-0.000274811,-4.04302e-05,-0.000709929,-0.0140972,-0.0118633,-0.942135
0.533671,-0.314707,0.943642,0.171586,-3.05495e-05,-0.000346268,5.83257e-05,-0.0142583,-0.0123336,-0.943061
0.553918,-0.314771,0.943705,0.17166,-0.00404187,0.00390552,0.00465307,-0.0145498,-0.0120919,-0.943509
0.76574,-0.314753,0.943696,0.171549,8.42635e-05,-4.02839e-05,-0.000512903,-0.0143176,-0.012038,-0.943092
0.78748,-0.31468,0.943681,0.171684,0.00457658,-0.000951108,0.00839214,-0.0147238,-0.0125444,-0.942647
0.792682,-0.314674,0.943636,0.171648,0.000510794,-0.00413231,-0.00324872,-0.0142325,-0.0122421,-0.942225
1.01687,-0.31475,0.943698,0.171602,-0.000338255,0.000279203,-0.000203099,-0.0141422,-0.0119546,-0.942223
1.26254,-0.314643,0.943684,0.171571,0.000436586,-5.54335e-05,-0.000128849,-0.0143605,-0.0124224,-0.942956
1.93782,-0.314709,0.943742,0.171664,-9.82425e-05,8.57258e-05,0.000138884,-0.014465,-0.0122441,-0.942895
2.14984,-0.314705,0.943719,0.171588,1.61871e-05,-0.000108474,-0.000362626,-0.0142965,-0.0122659,-0.943058
2.17482,-0.314774,0.943542,0.171735,-0.00274289,-0.00711055,0.00591145,-0.0148149,-0.0127555,-0.945446
2.17985,-0.314634,0.943682,0.171583,0.0279642,0.0281339,-0.0304505,-0.014181,-0.012118,-0.942554
2.18602,-0.314609,0.943671,0.171538,0.00495457,-0.00216999,-0.00907454,-0.0138238,-0.0123098,-0.942442
2.37319,-0.314713,0.943661,0.171506,-0.000552716,-5.73637e-05,-0.000167086,-0.0136834,-0.0120648,-0.942988
2.40569,-0.314624,0.943669,0.171541,0.00289144,0.000274531,0.00113092,-0.0139977,-0.0121461,-0.942535
2.40986,-0.314695,0.943674,0.171651,-0.0118735,0.000762221,0.0182737,-0.0142856,-0.0120361,-0.942648
2.41247,-0.314697,0.943708,0.171629,-0.000669491,0.0113713,-0.00727941,-0.0141863,-0.0123535,-0.942876
2.60709,-0.314668,0.943683,0.171603,0.000154689,-0.000129451,-0.000136189,-0.014309,-0.0121183,-0.94276
2.62261,-0.314653,0.943682,0.171631,0.000690403,-4.64705e-05,0.00131045,-0.0142131,-0.0122722,-0.942926
2.63157,-0.314675,0.943707,0.171567,-0.00244005,0.0027656,-0.00707491,-0.014291,-0.0122304,-0.942924
2.63493,-0.314701,0.943706,0.17157,-0.0085349,-0.000289542,0.000925407,-0.0142219,-0.0122837,-0.943021
2.64492,-0.314684,0.943699,0.171591,0.00420407,-0.00192344,0.00532299,-0.0142606,-0.0123743,-0.943223
2.92713,-0.314661,0.943679,0.171621,8.14341e-05,-6.87184e-05,0.000105649,-0.0144751,-0.0123231,-0.942834
2.94607,-0.314607,0.943671,0.17159,0.00200172,-0.000302914,-0.00113751,-0.0141875,-0.0121822,-0.942561
2.95335,-0.314662,0.943692,0.171544,-0.00786142,0.00295148,-0.00657331,-0.0140659,-0.0122571,-0.942765
2.95615,-0.314801,0.943546,0.17166,-0.0464661,-0.0486329,0.0386563,-0.0146195,-0.0130027,-0.945509
3.14827,-0.314779,0.943536,0.171708,0.000114916,-5.45464e-05,0.000247804,-0.0148615,-0.0127245,-0.945516
3.19947,-0.314705,0.943714,0.171668,0.00225673,0.00540809,-0.001216,-0.0144003,-0.0121814,-0.94301
3.37766,-0.314668,0.943707,0.171571,0.000192091,-3.48022e-05,-0.000501006,-0.0140041,-0.0122659,-0.942924
3.41764,-0.314665,0.94369,0.171548,0.000149028,-0.000756444,-0.00100555,-0.0141232,-0.0121673,-0.942658
3.42056,-0.314666,0.943678,0.171618,-0.000242212,-0.00167201,0.00996669,-0.0143104,-0.0122691,-0.942698
3.42672,-0.314647,0.943681,0.171646,0.00472289,0.00079573,0.00707551,-0.0142315,-0.0122622,-0.94251
3.42693,-0.314665,0.943697,0.171624,-0.00350241,0.0031993,-0.00458036,-0.0142729,-0.0122979,-0.942712
3.50167,-0.314676,0.943681,0.171632,-0.000131965,-0.000193995,9.99326e-05,-0.0141739,-0.0123032,-0.942567
3.52408,-0.314634,0.943684,0.171564,0.00322088,0.000190721,-0.00525591,-0.0140304,-0.0122623,-0.942842
3.52997,-0.314703,0.943713,0.171609,-0.0137405,0.0058983,0.00903113,-0.0142674,-0.0121549,-0.94309
3.53148,-0.314797,0.943557,0.171692,-0.0157199,-0.0260383,0.0137947,-0.0146885,-0.0128996,-0.94563
3.53381,-0.314676,0.943699,0.171606,0.0121292,0.0142461,-0.00854842,-0.0142614,-0.0123449,-0.942845
3.72337,-0.314791,0.943538,0.171669,-0.000601472,-0.000838682,0.000326397,-0.0145684,-0.0130928,-0.945334
3.77258,-0.31466,0.943707,0.171656,0.00469141,0.00603049,-0.000437805,-0.0141991,-0.0121506,-0.94276
3.77837,-0.314702,0.943687,0.171565,-0.0069936,-0.00338203,-0.0152079,-0.0137438,-0.0121444,-0.943073
3.77986,-0.314667,0.943693,0.171592,0.00432834,0.000807111,0.00333699,-0.0143114,-0.0122873,-0.942711
3.78134,-0.314754,0.943546,0.171653,-0.0172677,-0.0295177,0.0121616,-0.0146152,-0.0129479,-0.945275
4.14769,-0.314673,0.94369,0.171606,0.000245153,0.00044015,-0.000141926,-0.0141285,-0.0122173,-0.942731
4.16833,-0.314758,0.943533,0.171727,-0.0105436,-0.0196539,0.0150496,-0.0147275,-0.0127861,-0.945273
4.16839,-0.314642,0.943683,0.171631,0.0289979,0.0376283,-0.0237978,-0.0143606,-0.0123726,-0.942548
4.16851,-0.314635,0.943688,0.171577,0.0023534,0.00152155,-0.0181359,-0.0142299,-0.0122101,-0.942579
4.17154,-0.31463,0.943702,0.171549,0.000643331,0.0020309,-0.00405386,-0.014004,-0.0122327,-0.94257
4.22258,-0.314756,0.943689,0.171511,-0.00120926,-0.000122166,-0.000361284,-0.0136591,-0.0121233,-0.943137
4.26402,-0.314797,0.943546,0.171718,-0.001951,-0.00680661,0.00983731,-0.0147438,-0.0127444,-0.945458
4.27217,-0.314612,0.943794,0.171624,0.0231249,0.0309468,-0.0117481,-0.0144819,-0.0117521,-0.943131
4.27224,-0.314727,0.943699,0.171468,-0.028762,-0.0237739,-0.0388796,-0.0135514,-0.0121446,-0.943037
4.27228,-0.314689,0.943706,0.171537,0.0127796,0.00224038,0.022854,-0.0141154,-0.0121563,-0.94261
4.29996,-0.314678,0.943691,0.171652,0.000312329,-0.000423141,0.00330659,-0.0143093,-0.0121727,-0.942727
4.30716,-0.314656,0.943682,0.171654,0.00426337,-0.00172277,0.000370858,-0.0142052,-0.0122819,-0.942726
4.31071,-0.314629,0.943677,0.171591,0.00900996,-0.00172649,-0.0210622,-0.0141639,-0.0123352,-0.94257
4.32669,-0.314625,0.943715,0.171562,0.00032599,0.00314273,-0.00240252,-0.014093,-0.0121578,-0.942654
4.3286,-0.314716,0.943702,0.171572,-0.01805,-0.00261571,0.00200201,-0.0141869,-0.0120957,-0.942767
4.33525,-0.314699,0.94371,0.171609,0.00128249,0.000670013,0.00286085,-0.0142888,-0.0123285,-0.942854
4.56323,-0.314701,0.943696,0.171572,-7.99099e-06,-7.29771e-05,-0.000188864,-0.0142229,-0.0121432,-0.942693
4.56638,-0.314666,0.943675,0.171633,0.00498572,-0.00291661,0.00878952,-0.0144006,-0.0122092,-0.942863
4.56644,-0.31467,0.943686,0.171617,-0.00100441,0.00273666,-0.00410637,-0.0142405,-0.0123808,-0.94288
4.72824,-0.314665,0.94369,0.1716,2.25576e-05,1.90193e-05,-9.33826e-05,-0.014395,-0.0123233,-0.942758
4.78801,-0.314677,0.943683,0.171642,-0.000401292,-0.000247246,0.00150332,-0.014502,-0.012157,-0.942751
4.80323,-0.314819,0.943548,0.171641,-0.0141918,-0.0134629,-3.733e-05,-0.0147219,-0.0127914,-0.945362
4.83851,-0.314709,0.943688,0.171614,0.00196323,0.00248891,-0.000495308,-0.014398,-0.0121279,-0.942689
4.85639,-0.314682,0.943676,0.171574,0.0033881,-0.00143866,-0.00495207,-0.0141134,-0.0121679,-0.94271
4.85793,-0.314686,0.943679,0.171598,-0.000670887,0.000523079,0.00404904,-0.0143594,-0.0123307,-0.942723
4.85854,-0.314705,0.943667,0.171608,-0.00392683,-0.0024954,0.00199915,-0.0143231,-0.0123434,-0.942745
4.8607,-0.314744,0.943684,0.171548,-0.00430955,0.0018837,-0.00664006,-0.0138105,-0.0120791,-0.943073
4.88366,-0.314665,0.943678,0.17162,0.00878456,-0.000703375,0.00800188,-0.0143384,-0.0121983,-0.942658
5.06314,-0.314696,0.943706,0.171584,-0.000160527,0.000145475,-0.000188809,-0.0141217,-0.0121249,-0.942698
5.11875,-0.314682,0.943661,0.171612,0.000423295,-0.00131784,0.000820297,-0.0143396,-0.0120892,-0.942675
5.28323,-0.3147,0.943671,0.171646,-9.45456e-05,4.91616e-05,0.000177901,-0.0144154,-0.0121545,-0.942791
5.36222,-0.314817,0.943547,0.171658,-0.0058274,-0.00615724,0.000568397,-0.0145752,-0.0128464,-0.945373
5.36541,-0.314693,0.943667,0.171611,0.0137067,0.0133208,-0.00521354,-0.0142918,-0.0121485,-0.942752
5.36679,-0.314686,0.943688,0.171582,0.00148319,0.00419091,-0.00576416,-0.014153,-0.0121874,-0.942621
5.36882,-0.314718,0.943716,0.171646,-0.00793878,0.00702373,0.0160581,-0.0132039,-0.0115522,-0.942767
5.51742,-0.31473,0.943702,0.17161,-6.36115e-05,-7.63847e-05,-0.000191977,-0.0143053,-0.012163,-0.942712
5.54095,-0.314706,0.943696,0.171572,0.00083287,-0.000207626,-0.00128131,-0.0141908,-0.0121796,-0.942632
5.63847,-0.314669,0.943704,0.171642,0.00615545,0.00137512,0.0116485,-0.014271,-0.0123016,-0.942589
5.73623,-0.314686,0.943689,0.171592,-8.9718e-05,-7.87096e-05,-0.000266077,-0.0142626,-0.0122754,-0.942704
5.75545,-0.314696,0.943662,0.171607,-0.000503478,-0.00132986,0.000756921,-0.0143758,-0.0121404,-0.94272
5.76363,-0.31469,0.94369,0.171563,0.000981137,0.00466687,-0.00728017,-0.0141211,-0.0122578,-0.942706
5.76674,-0.314723,0.943683,0.171532,-0.0110795,-0.00248711,-0.0105654,-0.0140458,-0.0122341,-0.94282
5.77071,-0.314744,0.943661,0.171565,-0.00343864,-0.00364419,0.00560763,-0.0143178,-0.012007,-0.942808
5.96609,-0.314706,0.943655,0.171628,0.000195864,-3.15489e-05,0.00032358,-0.0143846,-0.0122614,-0.942759
5.98981,-0.314787,0.943531,0.171687,-0.00323877,-0.00495,0.00237481,-0.0147311,-0.0127493,-0.945356
5.99472,-0.314665,0.943649,0.171626,0.0243638,0.023586,-0.0122223,-0.01429,-0.012062,-0.942751
6.0034,-0.314668,0.943695,0.17158,-0.000316628,0.00512533,-0.00512162,-0.0142634,-0.0122808,-0.942566
6.19298,-0.3148,0.943533,0.171634,-0.00070066,-0.000860581,0.000285589,-0.0146616,-0.0128413,-0.945289
6.2161,-0.314702,0.943681,0.171583,0.00426977,0.00643598,-0.00221988,-0.0140886,-0.0122053,-0.942653
6.22371,-0.314718,0.943676,0.171611,-0.00223489,-0.00067269,0.00398612,-0.0142333,-0.0121442,-0.94279
6.22559,-0.314682,0.943648,0.171637,0.0119535,-0.00931403,0.00862962,-0.0142279,-0.0123024,-0.942749
6.29685,-0.314647,0.943665,0.171612,0.000488906,0.000233784,-0.000354832,-0.0142529,-0.0123425,-0.942645
6.31014,-0.31467,0.943685,0.171612,-0.00178733,0.00157022,2.45638e-05,-0.0142361,-0.012059,-0.942663
6.31441,-0.314667,0.943668,0.171605,0.000573174,-0.00337534,-0.00138313,-0.0142112,-0.0122585,-0.942688
6.32965,-0.314711,0.943677,0.171566,-0.0107746,0.00230681,-0.0098682,-0.0142647,-0.012251,-0.942805
6.33075,-0.314744,0.943681,0.171584,-0.00278906,0.000268753,0.0015129,-0.0143818,-0.0121455,-0.942833
6.52572,-0.314832,0.943517,0.171694,-0.000450347,-0.000838306,0.000563023,-0.0147345,-0.0128287,-0.945378
6.55014,-0.314732,0.943692,0.171578,0.00434922,0.00758957,-0.00500486,-0.0142953,-0.0121657,-0.9428
6.55331,-0.314667,0.943687,0.171629,0.0162395,-0.0011129,0.0126867,-0.0141914,-0.0122305,-0.942646
6.56101,-0.314621,0.943693,0.171631,0.00577318,0.000759166,0.000227984,-0.0142908,-0.01218,-0.942792
6.75426,-0.314651,0.943718,0.171569,-0.000157342,0.000125264,-0.000319496,-0.0140831,-0.0121942,-0.942807
6.78911,-0.31465,0.943662,0.171576,5.01385e-05,-0.00186315,0.0002383,-0.0143525,-0.0121097,-0.942632
6.79037,-0.314832,0.943522,0.171678,-0.0303937,-0.0232958,0.0168575,-0.0145708,-0.0128571,-0.945452
6.79349,-0.314711,0.943678,0.171603,0.0302773,0.0390308,-0.0187273,-0.0141438,-0.0122993,-0.942832
7.00372,-0.314676,0.943693,0.171631,0.000164796,7.05262e-05,0.000133461,-0.0143083,-0.0121329,-0.942792
7.01276,-0.31467,0.943705,0.171619,0.00107988,0.00202244,-0.00199565,-0.0141647,-0.0121572,-0.942833
7.01285,-0.314697,0.943687,0.171562,-0.00917762,-0.00598919,-0.018775,-0.0140703,-0.0122295,-0.942738
7.01891,-0.314696,0.943679,0.171568,0.000144904,-0.00124813,0.000926767,-0.0142059,-0.0120235,-0.942637
7.21013,-0.314724,0.943686,0.171671,-0.000142438,3.3647e-05,0.000537676,-0.0145252,-0.0124962,-0.942873
7.23428,-0.31473,0.943667,0.171537,-0.000284251,-0.000804238,-0.00582009,-0.0140621,-0.0120539,-0.942688
7.23819,-0.314683,0.943653,0.17161,0.00945847,-0.00291124,0.0147012,-0.0144338,-0.0122434,-0.942849
7.24137,-0.314641,0.943667,0.17162,0.0137892,0.0048016,0.00319273,-0.0145438,-0.0122574,-0.942726
7.24904,-0.314633,0.943673,0.171607,0.0010586,0.000665962,-0.00157072,-0.0142351,-0.0121393,-0.942651
7.43868,-0.314638,0.943697,0.171577,-2.60999e-05,0.000128841,-0.000157535,-0.014156,-0.0120974,-0.942784
7.45825,-0.314673,0.943651,0.171599,-0.00186177,-0.00243947,0.00112955,-0.0142515,-0.0120954,-0.942663
7.46835,-0.314731,0.943678,0.171608,-0.00725322,0.00343004,0.00111691,-0.0144382,-0.0122366,-0.942747
7.47174,-0.314719,0.943686,0.171613,0.00418076,0.00247614,0.00170667,-0.0142785,-0.0122751,-0.94276
7.67178,-0.314696,0.943681,0.171619,0.000116066,-2.50517e-05,3.34663e-05,-0.014363,-0.0122746,-0.942754
7.69017,-0.314663,0.943679,0.171625,0.00131924,-6.23143e-05,0.000225165,-0.0143152,-0.0121727,-0.942747
7.70725,-0.314645,0.943665,0.171565,0.00139658,-0.00107444,-0.00463299,-0.0142471,-0.0123897,-0.942652
7.91266,-0.314643,0.943679,0.171591,7.61567e-06,7.39267e-05,0.000136922,-0.0141471,-0.0122442,-0.942737
7.91993,-0.314695,0.943692,0.171567,-0.00214922,0.000548693,-0.00100862,-0.0141043,-0.0122952,-0.942941
7.92984,-0.314665,0.943674,0.171648,0.00247549,-0.00154486,0.00677487,-0.0143382,-0.0121181,-0.942515
8.12294,-0.314688,0.943671,0.171605,-0.000117839,-1.68873e-05,-0.00022601,-0.0142275,-0.0122449,-0.942835
8.14843,-0.314634,0.943661,0.171605,0.00206502,-0.000371517,2.59712e-05,-0.0142502,-0.0122454,-0.942727
8.15718,-0.314674,0.9437,0.171587,-0.00501398,0.00482208,-0.00226072,-0.0140724,-0.0121754,-0.94266
8.15987,-0.314784,0.943529,0.171701,-0.0364624,-0.0567463,0.0379677,-0.0147446,-0.0127716,-0.945341
8.35214,-0.314692,0.943679,0.17165,0.000485371,0.000787752,-0.000267832,-0.0144294,-0.0122177,-0.94274
8.37651,-0.314731,0.94366,0.171642,-0.00147414,-0.000708572,-0.00028873,-0.0144023,-0.012066,-0.942929
8.3945,-0.314682,0.943682,0.171613,0.00618201,0.00271429,-0.00370878,-0.0142757,-0.0121884,-0.942747
8.39453,-0.314635,0.943691,0.171581,0.0156864,0.00305064,-0.0106456,-0.0141499,-0.0121908,-0.942622
8.57568,-0.314694,0.943686,0.171556,-0.000312139,-2.4272e-05,-0.000133178,-0.0142334,-0.0123388,-0.942669
8.80557,-0.314758,0.943667,0.171601,-0.000280073,-8.17e-05,0.000197195,-0.0143022,-0.0122579,-0.943056
8.86467,-0.314676,0.943676,0.171629,0.00272914,0.000286688,0.000948673,-0.0142763,-0.0122132,-0.942645
8.87307,-0.314717,0.943681,0.171556,-0.00592805,0.000666041,-0.0104871,-0.0141048,-0.0122684,-0.94283
8.87499,-0.31472,0.943715,0.171551,-0.000864121,0.0115811,-0.00175407,-0.0142492,-0.0123079,-0.94296
8.92937,-0.3147,0.943696,0.171607,0.000238645,-0.000236763,0.000667123,-0.0141675,-0.0122899,-0.942636
8.95092,-0.314823,0.943537,0.171705,-0.0112213,-0.0144041,0.00895422,-0.014741,-0.0128124,-0.945268
